code,name,market_cap,is_tech,latest_close,latest_ma20,days_above_ma20,max_distance_above_ma20_pct,min_distance_above_ma20_pct,avg_distance_above_ma20_pct,latest_distance_above_ma20_pct,ma20_strength_score,last_breach_date,latest_date,rsi,volume_price_corr,volume_change_22d,volatility_20d,volume_price_score,rsi_score,volatility_score,composite_score
002901,大博医疗,133.16,True,45.58,41.84,19,8.95,-2.36,2.24,8.95,0.6554,从未跌破（观测期内）,2026-07-06,68.38,0.8924,2.9803,0.2809,0.9355,0.7026,0.5318,0.7163
002768,国恩股份,141.19,True,54.6,50.84,20,19.92,-3.02,8.93,7.39,0.7261,从未跌破（观测期内）,2026-07-06,60.07,0.8139,2.2699,0.5203,0.8883,0.8873,0.1329,0.7099
605020,永和股份,210.07,True,41.77,38.0,20,30.41,-3.53,8.84,9.91,0.787,从未跌破（观测期内）,2026-07-06,59.89,0.7728,0.4465,0.9474,0.8423,0.8912,0.0,0.7036
603379,三美股份,436.19,True,71.45,68.23,20,27.09,-2.92,9.02,4.72,0.6616,从未跌破（观测期内）,2026-07-06,54.15,0.9212,0.9357,0.885,0.9527,0.981,0.0,0.699
003043,华亚智能,87.61,True,93.86,86.26,22,30.27,7.1,17.92,8.8,0.8201,从未跌破（观测期内）,2026-07-06,57.47,0.3641,0.5187,0.9214,0.6185,0.9452,0.0,0.6717
603650,彤程新材,514.25,True,83.69,74.36,18,46.5,-7.64,17.81,12.55,0.7864,从未跌破（观测期内）,2026-07-06,66.81,0.7262,2.1697,0.985,0.8357,0.7375,0.0,0.671
002119,康强电子,131.87,True,35.14,33.75,22,31.96,1.62,18.93,4.11,0.7028,从未跌破（观测期内）,2026-07-06,53.51,0.6366,0.6495,0.8961,0.782,0.9668,0.0,0.67
600366,宁波韵升,177.06,True,16.11,14.54,19,17.59,-4.37,7.67,10.82,0.7441,从未跌破（观测期内）,2026-07-06,66.29,0.7846,2.01,0.736,0.8708,0.749,0.0,0.6651
002141,贤丰控股,58.36,True,5.65,4.45,16,47.92,-12.26,15.96,26.91,0.7545,从未跌破（观测期内）,2026-07-06,70.1,0.8508,5.9372,1.1971,0.9105,0.6646,0.0,0.6623
000970,中科三环,189.29,True,15.57,14.53,20,21.64,-5.98,11.26,7.14,0.7467,从未跌破（观测期内）,2026-07-06,61.46,0.5777,4.9283,0.8842,0.7466,0.8565,0.0,0.6566
002167,东方锆业,181.64,True,23.94,18.69,21,48.44,-2.16,22.16,28.08,0.8341,从未跌破（观测期内）,2026-07-06,72.87,0.6754,0.499,1.0259,0.8048,0.6028,0.0,0.6554
000513,丽珠集团,177.2,True,31.19,29.66,13,5.16,-3.5,0.44,5.16,0.4315,从未跌破（观测期内）,2026-07-06,54.98,0.7609,2.257,0.3479,0.8565,0.9996,0.4202,0.6497
603261,立航科技,40.87,True,52.73,44.07,15,45.53,-8.46,13.48,19.66,0.7386,从未跌破（观测期内）,2026-07-06,69.73,0.7931,4.8562,0.9302,0.8759,0.6726,0.0,0.6489
001229,魅视科技,26.03,True,35.29,30.04,20,29.05,-1.83,9.72,17.47,0.8112,从未跌破（观测期内）,2026-07-06,73.12,0.6993,2.5325,0.718,0.8196,0.5973,0.0,0.6488
002409,雅克科技,593.89,True,186.45,165.69,20,54.21,-6.02,23.12,12.53,0.8182,从未跌破（观测期内）,2026-07-06,64.45,0.3801,0.6768,1.0735,0.6281,0.79,0.0,0.6423
603087,甘李药业,376.48,True,67.09,57.05,19,17.6,-2.74,3.47,17.6,0.6719,从未跌破（观测期内）,2026-07-06,70.66,0.9054,2.7598,0.5748,0.9433,0.652,0.042,0.6413
603257,中国瑞林,19.96,True,80.17,72.26,22,19.57,1.13,9.02,10.94,0.8283,从未跌破（观测期内）,2026-07-06,69.27,0.6392,-0.0962,0.4521,0.545,0.6828,0.2465,0.6411
603991,领先股份,137.52,True,153.59,128.59,17,27.17,-12.55,8.13,19.44,0.7238,从未跌破（观测期内）,2026-07-06,73.69,0.8876,2.4242,0.7997,0.9326,0.5847,0.0,0.6396
002674,兴业科技,83.61,True,28.58,21.88,22,70.87,1.67,24.75,30.59,0.85,从未跌破（观测期内）,2026-07-06,72.81,0.523,4.8951,1.0703,0.7138,0.6042,0.0,0.6393
002440,闰土股份,104.38,True,11.03,10.15,15,22.19,-9.65,5.88,8.68,0.6026,从未跌破（观测期内）,2026-07-06,59.6,0.7874,2.0966,0.8464,0.8724,0.8978,0.0,0.6387
603155,新亚强,93.38,True,29.57,24.52,22,30.25,0.6,13.65,20.6,0.85,从未跌破（观测期内）,2026-07-06,66.79,0.595,0.1095,1.0754,0.6008,0.738,0.0,0.6378
