code,name,market_cap,is_tech,latest_close,latest_ma20,days_above_ma20,max_distance_above_ma20_pct,min_distance_above_ma20_pct,avg_distance_above_ma20_pct,latest_distance_above_ma20_pct,ma20_strength_score,last_breach_date,latest_date,rsi,volume_price_corr,volume_change_22d,volatility_20d,volume_price_score,rsi_score,volatility_score,composite_score,trend_score,trend_normalized,trend_phase,daily_trend_score,weekly_trend_score,monthly_trend_score
002422,科伦药业,615.02,True,47.36,43.78,21,26.76,-1.1,11.01,8.19,0.7888,2026-06-26,2026-07-21,59.57,0.8711,1.0004,0.8837,0.9227,0.8985,0.0,0.788,0.8564,0.9282,多周期共振看多 ⬆⬆⬆,0.7865,0.7131,0.495
603127,昭衍新药,309.63,True,49.12,42.5,22,30.75,3.57,13.83,15.57,0.85,2026-06-17,2026-07-21,63.45,0.7859,1.8305,0.8586,0.8715,0.8123,0.0,0.7723,0.7689,0.8844,多周期共振看多 ⬆⬆⬆,0.6875,0.5382,0.5625
000938,紫光股份,1185.79,True,41.46,33.11,19,31.01,-5.27,12.8,25.2,0.8023,2026-06-29,2026-07-21,69.43,0.9232,3.0149,0.9997,0.9539,0.6793,0.0,0.7595,0.809,0.9045,多周期共振看多 ⬆⬆⬆,0.731,0.589,0.5625
000977,浪潮信息,1300.49,True,88.66,75.62,22,30.83,0.63,11.43,17.24,0.85,2026-06-16,2026-07-21,70.12,0.835,1.6732,0.8773,0.901,0.664,0.0,0.7491,0.7145,0.8573,多周期共振看多 ⬆⬆⬆,0.6845,0.4887,0.495
002821,凯莱英,537.39,True,169.5,163.05,22,36.13,0.97,17.05,3.96,0.6989,2026-06-17,2026-07-21,51.83,0.6669,0.8139,1.0181,0.8001,0.9296,0.0,0.7364,0.8178,0.9089,多周期共振看多 ⬆⬆⬆,0.598,0.7223,0.5625
600267,海正药业,143.76,True,12.18,10.93,21,15.08,-0.82,6.89,11.41,0.7775,2026-06-22,2026-07-21,67.9,0.9289,5.2451,0.6002,0.9573,0.7134,0.0,0.7237,0.5358,0.7679,多周期共振看多 ⬆⬆⬆,0.5569,0.3178,0.3825
002653,海思科,384.07,True,71.55,68.63,22,45.23,0.0,17.0,4.25,0.7062,2026-06-18,2026-07-21,48.37,0.8009,2.5833,0.9915,0.8806,0.8528,0.0,0.7224,0.6518,0.8259,多周期共振看多 ⬆⬆⬆,0.494,0.514,0.495
002440,闰土股份,116.31,True,12.29,10.76,18,22.19,-7.99,7.0,14.22,0.7113,2026-07-13,2026-07-21,57.46,0.7891,1.2401,0.8929,0.8734,0.9453,0.0,0.7098,0.4391,0.7196,多周期共振看多 ⬆⬆⬆,0.6155,0.2125,0.225
603519,立霸股份,42.19,True,15.84,14.78,22,19.6,1.24,8.7,7.15,0.7461,2026-06-11,2026-07-21,56.11,0.7123,-0.1926,0.7152,0.5503,0.9753,0.0,0.7067,0.8121,0.9061,多周期共振看多 ⬆⬆⬆,0.728,0.5983,0.5625
000739,普洛药业,233.1,True,20.13,18.24,21,18.47,-1.73,7.14,10.37,0.7627,2026-06-26,2026-07-21,71.06,0.8648,2.5431,0.531,0.9189,0.6431,0.115,0.704,0.4673,0.7337,多周期共振看多 ⬆⬆⬆,0.674,0.2243,0.225
002841,视源股份,251.6,True,48.26,42.64,16,42.05,-7.28,12.86,13.18,0.7545,2026-06-29,2026-07-21,72.65,0.9027,4.8891,0.7893,0.9416,0.6078,0.0,0.6973,0.5317,0.7658,多周期共振看多 ⬆⬆⬆,0.545,0.544,0.1575
