code,name,market_cap,is_tech,latest_close,latest_ma20,days_above_ma20,max_distance_above_ma20_pct,min_distance_above_ma20_pct,avg_distance_above_ma20_pct,latest_distance_above_ma20_pct,ma20_strength_score,last_breach_date,latest_date,rsi,volume_price_corr,volume_change_22d,volatility_20d,volume_price_score,rsi_score,volatility_score,composite_score,trend_score,trend_normalized,trend_phase,daily_trend_score,weekly_trend_score,monthly_trend_score
002036,联创电子,76.31,True,7.23,6.83,2,5.8,-17.7,-10.59,5.8,0.0,2026-07-20,2026-07-22,48.7,0.3315,1.6581,0.8595,0.5989,0.8601,0.0,0.275,-0.7905,0.1048,多周期共振看空 ⬇⬇⬇,-0.5515,-0.7021,-0.5625
002457,青龙管业,32.16,True,9.65,12.66,12,18.13,-23.81,-1.8,-23.81,0.0,2026-07-22,2026-07-22,34.4,0.6341,-0.3228,0.8769,0.4513,0.5423,0.0,0.2748,-0.1742,0.4129,多周期方向不一致，观望,-0.386,-0.0973,-0.3375
000818,航锦科技,82.87,True,12.59,13.82,12,14.41,-10.47,1.15,-8.92,0.0,2026-07-22,2026-07-22,29.3,0.6682,-0.0388,0.8064,0.5854,0.4289,0.0,0.2745,-0.2557,0.3721,多周期方向不一致，观望,-0.1199,-0.4588,-0.5625
002614,奥佳华,19.72,True,4.47,4.55,5,4.25,-9.13,-2.69,-1.86,0.0049,2026-07-22,2026-07-22,45.63,0.3547,-0.2293,0.2818,0.3211,0.7918,0.5303,0.274,-0.7082,0.1459,多周期共振看空 ⬇⬇⬇,-0.2846,-0.75,-0.5625
000751,锌业股份,61.33,True,4.35,5.11,9,18.14,-19.72,-3.06,-14.85,0.0,2026-07-22,2026-07-22,19.51,0.8725,0.5001,0.6827,0.9235,0.2114,0.0,0.2738,-0.541,0.2295,多周期共振看空 ⬇⬇⬇,-0.5453,-0.4967,-0.225
000920,沃顿科技,56.14,True,11.88,13.44,11,19.8,-19.08,-1.7,-11.59,0.0,2026-07-22,2026-07-22,36.32,0.3192,-0.3001,1.0945,0.2715,0.5849,0.0,0.2734,0.0506,0.5253,多周期方向不一致，观望,-0.1993,0.3787,0.0144
002984,森麒麟,100.59,True,14.09,13.69,6,3.75,-9.02,-2.53,2.96,0.1373,2026-07-14,2026-07-22,65.12,0.0781,-0.3864,0.2724,0.0923,0.7752,0.546,0.2734,-0.6576,0.1712,多周期共振看空 ⬇⬇⬇,-0.155,-0.75,-0.5625
002215,诺 普 信,69.1,True,8.55,8.72,4,4.21,-8.92,-2.26,-1.94,0.0138,2026-07-22,2026-07-22,48.34,0.413,-0.0296,0.4971,0.4359,0.8521,0.1715,0.2718,-0.7158,0.1421,多周期共振看空 ⬇⬇⬇,-0.3472,-0.7131,-0.5625
002103,广博股份,23.17,True,5.97,6.01,5,4.39,-11.1,-2.9,-0.7,0.0136,2026-07-22,2026-07-22,45.21,0.3664,-0.192,0.3353,0.343,0.7823,0.4411,0.2717,-0.6994,0.1503,多周期共振看空 ⬇⬇⬇,-0.262,-0.75,-0.5625
002145,钛能化学,164.44,True,4.32,4.53,10,11.88,-8.38,-0.19,-4.56,0.0403,2026-07-22,2026-07-22,31.65,0.8868,-0.679,0.4825,0.5321,0.4812,0.1958,0.2713,-0.512,0.244,多周期共振看空 ⬇⬇⬇,-0.2103,-0.3825,-0.5625
001382,新亚电缆,9.49,True,15.06,15.45,0,-1.43,-20.32,-11.72,-2.49,0.0,2026-07-22,2026-07-22,40.87,0.8313,-0.6709,0.3612,0.4988,0.6859,0.398,0.2712,-0.7703,0.1149,多周期共振看空 ⬇⬇⬇,-0.5515,-0.6577,-0.5625
002138,顺络电子,331.65,True,43.84,57.19,8,22.66,-36.11,-6.5,-23.35,0.0,2026-07-22,2026-07-22,22.79,0.2374,0.2222,0.9977,0.4313,0.2843,0.0,0.2704,0.1321,0.566,上升趋势中的日线回调（关注买点）,-0.405,0.3412,0.45
002718,友邦吊顶,77.68,True,82.65,103.6,10,21.0,-20.22,-0.64,-20.22,0.0,2026-07-22,2026-07-22,28.38,-0.369,0.1383,0.7165,0.2553,0.4085,0.0,0.2701,0.262,0.631,上升趋势中的日线回调（关注买点）,-0.389,0.6515,0.5625
002158,汉钟精机,139.21,True,26.09,32.96,14,19.41,-26.42,1.94,-20.84,0.0,2026-07-22,2026-07-22,26.05,0.6122,-0.4056,0.8099,0.4051,0.3566,0.0,0.2697,0.0817,0.5409,多周期方向不一致，观望,-0.2145,0.0929,0.45
002528,*ST英飞,43.79,True,4.17,4.37,6,1.59,-10.25,-3.17,-4.64,0.0,2026-07-22,2026-07-22,45.45,-0.3821,-0.5395,0.4421,0.0,0.7879,0.2631,0.2695,-0.0003,0.4999,月线看多，中短期调整中,-0.3374,-0.2748,0.5625
002199,*ST东晶,22.52,True,9.75,11.62,1,1.33,-17.12,-7.7,-16.09,0.0,2026-07-21,2026-07-21,28.28,0.0694,0.4637,0.5838,0.4271,0.4063,0.027,0.2693,-0.0383,0.4808,多周期方向不一致，观望,-0.5664,-0.1329,0.45
000723,美锦能源,156.47,True,3.56,3.41,4,4.4,-14.98,-6.72,4.4,0.0055,2026-07-17,2026-07-22,56.31,0.2517,-0.1312,0.3826,0.2985,0.9709,0.3623,0.2692,-0.7917,0.1042,多周期共振看空 ⬇⬇⬇,-0.4988,-0.75,-0.5625
000039,中集集团,185.95,True,8.08,8.01,1,0.93,-12.41,-7.6,0.93,0.0,2026-07-21,2026-07-22,54.3,0.2362,-0.1041,0.4857,0.3001,0.9844,0.1905,0.269,-0.6617,0.1692,多周期共振看空 ⬇⬇⬇,-0.625,-0.581,-0.3375
000962,东方钽业,252.09,True,50.1,68.2,9,45.45,-32.3,1.23,-26.54,0.0,2026-07-22,2026-07-22,19.73,0.6578,-0.1508,1.0333,0.5344,0.2161,0.0,0.2689,0.0365,0.5182,多周期方向不一致，观望,-0.3082,-0.0252,0.45
000917,电广传媒,91.71,True,6.47,6.61,2,4.05,-9.16,-4.05,-2.07,0.0,2026-07-22,2026-07-22,44.83,0.8374,-0.6965,0.5028,0.5024,0.7739,0.1621,0.2687,-0.7128,0.1436,多周期共振看空 ⬇⬇⬇,-0.4637,-0.6741,-0.495
002632,道明光学,45.72,True,7.96,8.98,3,15.67,-11.53,-4.78,-11.31,0.0,2026-07-22,2026-07-22,44.48,0.1993,3.1802,0.9401,0.5196,0.7661,0.0,0.268,-0.6063,0.1969,多周期共振看空 ⬇⬇⬇,-0.3308,-0.554,-0.495
003037,三和管桩,31.03,True,5.18,5.71,5,6.41,-13.65,-5.12,-9.25,0.0,2026-07-22,2026-07-22,41.1,0.7888,-0.027,0.522,0.6625,0.691,0.1299,0.2679,-0.85,0.075,多周期共振看空 ⬇⬇⬇,-0.659,-0.7408,-0.5625
002213,大为股份,56.83,True,27.49,31.98,3,6.34,-31.8,-10.79,-14.04,0.0,2026-07-22,2026-07-22,35.05,0.5751,-0.7432,1.0295,0.3451,0.5568,0.0,0.2676,-0.0797,0.4602,月线看多，中短期调整中,-0.6795,-0.2471,0.45
002093,国脉科技,64.38,True,6.39,6.35,3,1.31,-10.1,-4.43,0.71,0.0071,2026-07-20,2026-07-22,50.79,0.0994,0.1534,0.3968,0.321,0.9065,0.3386,0.2671,-0.7524,0.1238,多周期共振看空 ⬇⬇⬇,-0.398,-0.75,-0.5625
001309,德明利,754.69,True,457.2,765.58,13,38.54,-40.28,2.2,-40.28,0.0,2026-07-22,2026-07-22,26.57,0.0039,0.6878,1.1754,0.4023,0.3682,0.0,0.267,0.0508,0.5254,多周期方向不一致，观望,-0.3117,0.0406,0.45
001380,华纬科技,35.17,True,15.11,15.94,5,5.3,-6.45,-2.04,-5.22,0.0,2026-07-22,2026-07-22,44.3,0.5205,0.0912,0.5625,0.5488,0.7621,0.0626,0.2668,-0.7083,0.1458,多周期共振看空 ⬇⬇⬇,-0.2848,-0.75,-0.5625
002571,德力股份,29.98,True,10.05,10.28,1,0.47,-10.98,-5.73,-2.28,0.0,2026-07-22,2026-07-22,38.12,0.4605,-0.5959,0.4462,0.2763,0.625,0.2563,0.2666,-0.2639,0.368,月线震荡，中短期走弱,-0.4211,-0.4961,-0.0301
002313,日海智能,27.89,True,7.45,7.69,6,3.73,-13.26,-3.81,-3.16,0.0,2026-07-22,2026-07-22,46.86,0.31,0.3181,0.6414,0.5133,0.819,0.0,0.2665,-0.6724,0.1638,多周期共振看空 ⬇⬇⬇,-0.3913,-0.5798,-0.5625
002386,天原股份,72.23,True,5.55,5.92,11,8.48,-7.09,0.36,-6.18,0.0294,2026-07-22,2026-07-22,29.1,0.6269,-0.7098,0.4182,0.3762,0.4245,0.303,0.2658,-0.2978,0.3511,多周期共振看空 ⬇⬇⬇,-0.1945,-0.2615,-0.2263
000738,航发控制,228.32,True,17.36,17.52,1,1.78,-7.34,-3.58,-0.92,0.0,2026-07-22,2026-07-22,45.98,0.4741,-0.3815,0.4461,0.3319,0.7995,0.2564,0.265,-0.5756,0.2122,多周期共振看空 ⬇⬇⬇,-0.3464,-0.6307,-0.3375
002309,中利集团,66.65,True,2.77,2.69,4,6.56,-15.37,-8.37,2.99,0.0,2026-07-17,2026-07-22,50.0,0.2648,0.1189,0.7475,0.4065,0.8889,0.0,0.2649,-0.598,0.201,多周期共振看空 ⬇⬇⬇,-0.505,-0.544,-0.3375
000868,安凯客车,31.28,True,3.33,3.38,2,2.27,-10.45,-4.25,-1.36,0.0,2026-07-22,2026-07-22,45.31,0.4156,-0.3211,0.2804,0.3209,0.7847,0.5326,0.2647,-0.7639,0.118,多周期共振看空 ⬇⬇⬇,-0.4274,-0.75,-0.5625
