code,name,market_cap,is_tech,latest_close,latest_ma20,days_above_ma20,max_distance_above_ma20_pct,min_distance_above_ma20_pct,avg_distance_above_ma20_pct,latest_distance_above_ma20_pct,ma20_strength_score,last_breach_date,latest_date,rsi,volume_price_corr,volume_change_22d,volatility_20d,volume_price_score,rsi_score,volatility_score,composite_score,trend_score,trend_normalized,trend_phase,daily_trend_score,weekly_trend_score,monthly_trend_score
603259,药明康德,3252.36,True,131.5,118.32,20,22.27,-1.07,9.73,11.14,0.8115,2026-06-17,2026-07-15,64.58,0.7788,0.8769,0.5536,0.8673,0.787,0.0773,0.7774,0.8774,0.9387,多周期共振看多 ⬆⬆⬆,0.785,0.6929,0.5625
002422,科伦药业,637.23,True,49.07,41.55,21,26.76,-1.1,9.5,18.09,0.8216,2026-06-26,2026-07-15,70.12,0.9522,1.8212,0.7583,0.9713,0.664,0.0,0.7756,0.8822,0.9411,多周期共振看多 ⬆⬆⬆,0.8525,0.7131,0.495
002185,华天科技,767.86,True,23.11,21.79,21,22.29,-2.9,10.51,6.05,0.7352,2026-06-15,2026-07-15,52.25,0.7225,1.1138,0.9272,0.8335,0.9388,0.0,0.76,0.8555,0.9278,多周期共振看多 ⬆⬆⬆,0.7505,0.6744,0.5625
002821,凯莱英,620.61,True,195.75,153.8,19,36.13,-4.74,15.89,27.27,0.8023,2026-06-17,2026-07-15,70.17,0.8436,2.7423,0.8492,0.9062,0.6629,0.0,0.759,0.9013,0.9506,多周期共振看多 ⬆⬆⬆,0.812,0.7223,0.5625
002536,飞龙股份,304.32,True,55.9,49.47,22,22.14,1.4,10.29,13.0,0.85,2026-06-12,2026-07-15,55.25,0.3771,0.7572,0.949,0.6263,0.9944,0.0,0.7582,0.8301,0.915,多周期共振看多 ⬆⬆⬆,0.6079,0.7408,0.5625
002653,海思科,397.92,True,74.13,63.92,18,45.23,-3.39,14.91,15.97,0.7864,2026-06-18,2026-07-15,67.32,0.919,3.137,0.9052,0.9514,0.7261,0.0,0.7501,0.7201,0.86,多周期共振看多 ⬆⬆⬆,0.68,0.5048,0.495
002674,兴业科技,84.0,True,28.71,26.85,22,70.87,4.62,30.29,6.93,0.7732,2026-05-12,2026-07-15,54.45,0.5745,1.3864,1.2328,0.7447,0.9877,0.0,0.7475,0.7475,0.8738,多周期共振看多 ⬆⬆⬆,0.5705,0.5913,0.5625
605208,永茂泰,62.49,True,18.94,16.77,20,16.29,-4.44,7.37,12.95,0.7525,2026-06-29,2026-07-15,73.45,0.8763,0.9324,0.56,0.9258,0.59,0.0667,0.74,0.871,0.9355,多周期共振看多 ⬆⬆⬆,0.7775,0.6854,0.5625
002317,众生药业,253.54,True,33.29,26.12,18,27.45,-7.96,9.73,27.45,0.7796,2026-06-22,2026-07-15,74.62,0.8747,1.0018,0.8656,0.9248,0.564,0.0,0.7358,0.8592,0.9296,多周期共振看多 ⬆⬆⬆,0.803,0.6375,0.5625
002141,贤丰控股,57.95,True,5.61,5.11,21,47.92,-6.25,20.64,9.71,0.8268,2026-07-13,2026-07-15,53.61,0.4818,0.8496,1.2516,0.6891,0.969,0.0,0.735,0.6299,0.815,多周期共振看多 ⬆⬆⬆,0.5895,0.3167,0.5625
000977,浪潮信息,1242.41,True,84.7,72.02,20,30.83,-2.24,9.31,17.6,0.801,2026-06-16,2026-07-15,66.96,0.8361,2.3752,0.7547,0.9017,0.7342,0.0,0.7328,0.6164,0.8082,多周期共振看多 ⬆⬆⬆,0.578,0.3644,0.495
000938,紫光股份,1016.18,True,35.53,30.94,15,31.01,-5.95,8.9,14.82,0.7112,2026-06-29,2026-07-15,64.94,0.9222,1.9763,0.8371,0.9533,0.7792,0.0,0.7318,0.6875,0.8438,多周期共振看多 ⬆⬆⬆,0.5128,0.509,0.5625
600360,华微电子,137.42,True,14.31,14.37,19,22.68,-4.89,10.29,-0.4,0.5423,2026-07-15,2026-07-15,51.74,0.9363,0.8891,0.9042,0.9618,0.9275,0.0,0.7313,0.8969,0.9485,多周期共振看多 ⬆⬆⬆,0.7685,0.75,0.5625
002156,通富微电,1194.39,True,78.71,71.35,16,17.34,-5.19,4.68,10.31,0.6216,2026-07-08,2026-07-15,51.04,0.8106,1.0169,0.8295,0.8863,0.9121,0.0,0.7225,0.7755,0.8878,多周期共振看多 ⬆⬆⬆,0.4895,0.7223,0.5625
600267,海正药业,141.4,True,11.98,10.49,19,14.2,-1.92,4.7,14.2,0.6908,2026-06-22,2026-07-15,68.61,0.9256,2.6149,0.4471,0.9553,0.6975,0.2548,0.7189,0.5236,0.7618,多周期共振看多 ⬆⬆⬆,0.4713,0.3643,0.3825
603893,瑞芯微,890.19,True,210.5,190.69,19,17.45,-5.06,5.64,10.39,0.6933,2026-06-17,2026-07-15,63.07,0.7121,0.9407,0.5155,0.8272,0.8208,0.1408,0.7182,0.6604,0.8302,多周期共振看多 ⬆⬆⬆,0.6186,0.5838,0.3375
603127,昭衍新药,319.08,True,50.62,39.68,19,27.57,-7.47,9.66,27.57,0.7938,2026-06-17,2026-07-15,72.11,0.7874,1.2918,0.7755,0.8724,0.6198,0.0,0.7169,0.6905,0.8453,多周期共振看多 ⬆⬆⬆,0.662,0.3876,0.5625
603757,大元泵业,143.64,True,77.0,71.57,19,32.08,-9.78,14.99,7.59,0.742,2026-06-17,2026-07-15,55.11,0.2385,2.3086,0.9532,0.5431,0.9976,0.0,0.7152,0.8744,0.9372,多周期共振看多 ⬆⬆⬆,0.7325,0.7315,0.5625
002774,快意电梯,46.13,True,16.37,14.31,21,22.06,-7.44,11.07,14.43,0.8341,2026-06-15,2026-07-15,61.81,0.1343,2.3873,0.7934,0.4806,0.8487,0.0,0.7107,0.8964,0.9482,多周期共振看多 ⬆⬆⬆,0.821,0.7038,0.5625
605178,时空科技,98.39,True,99.3,92.86,19,53.64,-3.88,20.23,6.93,0.7256,2026-06-17,2026-07-15,57.69,0.5424,1.7165,0.9944,0.7255,0.9403,0.0,0.7094,0.6444,0.8222,多周期共振看多 ⬆⬆⬆,0.4435,0.4737,0.5625
603991,领先股份,132.75,True,148.26,144.17,22,27.17,1.79,13.86,2.84,0.671,2026-06-10,2026-07-15,62.19,0.5097,0.4512,0.8977,0.6863,0.8402,0.0,0.699,0.8751,0.9375,多周期共振看多 ⬆⬆⬆,0.7685,0.7021,0.5625
002860,星帅尔,56.86,True,16.53,15.24,22,24.79,0.61,8.43,8.5,0.7731,2026-06-12,2026-07-15,69.15,0.6369,0.3789,0.6501,0.7337,0.6855,0.0,0.6947,0.7058,0.8529,多周期共振看多 ⬆⬆⬆,0.737,0.5821,0.3375
