code,name,market_cap,is_tech,latest_close,latest_ma20,days_above_ma20,max_distance_above_ma20_pct,min_distance_above_ma20_pct,avg_distance_above_ma20_pct,latest_distance_above_ma20_pct,ma20_strength_score,last_breach_date,latest_date,rsi,volume_price_corr,volume_change_22d,volatility_20d,volume_price_score,rsi_score,volatility_score,composite_score,trend_score,trend_normalized,trend_phase,daily_trend_score,weekly_trend_score,monthly_trend_score
600360,华微电子,152.69,True,15.9,14.23,19,22.68,-9.42,9.88,11.72,0.7993,2026-06-16,2026-07-14,62.8,0.9418,3.1499,0.8028,0.9651,0.8266,0.0,0.7937,0.8951,0.9476,多周期共振看多 ⬆⬆⬆,0.764,0.75,0.5625
002422,科伦药业,0.0,True,48.5,40.9,21,26.76,-1.1,9.03,18.58,0.8097,2026-06-26,2026-07-14,69.34,0.9456,1.8575,0.7657,0.9674,0.6813,0.0,0.7707,0.8571,0.9285,多周期共振看多 ⬆⬆⬆,0.7925,0.7094,0.495
603259,药明康德,3153.68,True,127.51,116.66,20,22.27,-1.07,9.24,9.3,0.7818,2026-06-17,2026-07-14,62.94,0.7231,1.2812,0.5585,0.8339,0.8235,0.0692,0.7653,0.8681,0.9341,多周期共振看多 ⬆⬆⬆,0.7613,0.6929,0.5625
002185,华天科技,853.26,True,25.68,21.53,20,22.29,-8.33,9.86,19.29,0.8147,2026-06-15,2026-07-14,66.03,0.7456,2.92,0.825,0.8474,0.7549,0.0,0.7623,0.8812,0.9406,多周期共振看多 ⬆⬆⬆,0.8165,0.6744,0.5625
002821,凯莱英,564.18,True,177.95,149.57,18,36.13,-4.74,14.61,18.97,0.7864,2026-06-17,2026-07-14,67.9,0.8401,3.2022,0.8258,0.904,0.7134,0.0,0.7607,0.896,0.948,多周期共振看多 ⬆⬆⬆,0.7985,0.7223,0.5625
603928,兴业股份,51.89,True,15.23,14.18,17,36.8,-4.47,12.55,7.37,0.7046,2026-06-25,2026-07-14,59.13,0.8953,7.6191,1.1805,0.9372,0.9082,0.0,0.7551,0.7603,0.8801,多周期共振看多 ⬆⬆⬆,0.7137,0.4967,0.5625
002674,兴业科技,0.0,True,31.9,26.21,22,70.87,4.62,30.26,21.69,0.85,2026-05-12,2026-07-14,64.77,0.5866,2.4096,1.1623,0.752,0.7828,0.0,0.7522,0.8352,0.9176,多周期共振看多 ⬆⬆⬆,0.7955,0.5913,0.5625
002536,飞龙股份,0.0,True,54.07,48.93,21,22.14,-1.95,9.61,10.51,0.8243,2026-06-12,2026-07-14,55.91,0.4128,0.5597,0.9462,0.6477,0.9798,0.0,0.7519,0.8246,0.9123,多周期共振看多 ⬆⬆⬆,0.5938,0.7408,0.5625
002653,海思科,363.57,True,67.73,62.64,18,45.23,-3.39,14.22,8.13,0.7397,2026-06-18,2026-07-14,61.13,0.9201,2.8191,0.8728,0.9521,0.8637,0.0,0.7515,0.6768,0.8384,多周期共振看多 ⬆⬆⬆,0.5773,0.4976,0.495
603757,大元泵业,146.03,True,78.28,70.45,18,32.08,-16.94,13.88,11.11,0.7864,2026-06-17,2026-07-14,54.56,0.3432,1.4406,0.9694,0.6059,0.9902,0.0,0.7429,0.8984,0.9492,多周期共振看多 ⬆⬆⬆,0.794,0.7315,0.5625
603261,立航科技,41.94,True,54.11,50.31,21,45.53,-3.84,19.34,7.55,0.7728,2026-06-11,2026-07-14,57.67,0.441,8.493,0.933,0.6646,0.9407,0.0,0.742,0.8892,0.9446,多周期共振看多 ⬆⬆⬆,0.7595,0.7408,0.5625
605208,永茂泰,63.71,True,19.31,16.61,20,16.29,-4.44,7.11,16.29,0.746,2026-06-29,2026-07-14,74.83,0.8737,0.4496,0.5585,0.9041,0.5593,0.0692,0.733,0.9003,0.9502,多周期共振看多 ⬆⬆⬆,0.8525,0.6854,0.5625
603127,昭衍新药,290.09,True,46.02,38.76,18,18.72,-8.7,8.01,18.72,0.7367,2026-06-17,2026-07-14,67.25,0.9048,4.0504,0.7297,0.9429,0.7277,0.0,0.7288,0.6805,0.8402,多周期共振看多 ⬆⬆⬆,0.653,0.3734,0.5625
600584,长电科技,1837.73,True,102.7,95.77,20,29.8,-7.73,11.64,7.24,0.7491,2026-06-15,2026-07-14,55.82,0.3826,1.1739,0.9651,0.6296,0.9819,0.0,0.7273,0.8347,0.9173,多周期共振看多 ⬆⬆⬆,0.663,0.7038,0.5625
002317,众生药业,237.24,True,31.15,25.55,17,25.84,-7.96,8.42,21.93,0.7308,2026-06-22,2026-07-14,72.19,0.8342,1.3154,0.8631,0.9005,0.6181,0.0,0.7233,0.8501,0.925,多周期共振看多 ⬆⬆⬆,0.7798,0.6375,0.5625
002768,国恩股份,146.39,True,56.61,54.38,21,19.92,-3.48,10.6,4.1,0.6866,2026-07-13,2026-07-14,54.26,0.5422,1.4926,0.6263,0.7253,0.9836,0.0,0.7218,0.786,0.893,多周期共振看多 ⬆⬆⬆,0.6025,0.6485,0.5625
000977,浪潮信息,1246.07,True,84.95,70.9,19,30.83,-10.43,8.04,19.81,0.7532,2026-06-16,2026-07-14,69.73,0.8512,3.0161,0.7587,0.9107,0.6727,0.0,0.7113,0.6186,0.8093,多周期共振看多 ⬆⬆⬆,0.569,0.3769,0.495
