code,name,market_cap,is_tech,latest_close,latest_ma20,days_above_ma20,max_distance_above_ma20_pct,min_distance_above_ma20_pct,avg_distance_above_ma20_pct,latest_distance_above_ma20_pct,ma20_strength_score,last_breach_date,latest_date,rsi,volume_price_corr,volume_change_22d,volatility_20d,volume_price_score,rsi_score,volatility_score,composite_score,trend_score,trend_normalized,trend_phase,daily_trend_score,weekly_trend_score,monthly_trend_score
002422,科伦药业,581.78,True,44.8,40.3,21,26.76,-1.1,8.67,11.17,0.8008,2026-06-26,2026-07-13,65.12,0.9423,1.303,0.7334,0.9654,0.7751,0.0,0.7783,0.8296,0.9148,多周期共振看多 ⬆⬆⬆,0.722,0.7094,0.495
603261,立航科技,42.58,True,54.94,49.38,20,45.53,-6.11,18.72,11.26,0.8182,2026-06-11,2026-07-13,57.24,0.5696,9.8356,0.9264,0.7418,0.9502,0.0,0.772,0.8857,0.9428,多周期共振看多 ⬆⬆⬆,0.7505,0.7408,0.5625
600360,华微电子,163.44,True,17.02,14.0,18,22.68,-9.42,9.08,21.57,0.7634,2026-06-16,2026-07-13,69.38,0.9434,3.2946,0.7442,0.9661,0.6805,0.0,0.7646,0.9226,0.9613,多周期共振看多 ⬆⬆⬆,0.8345,0.75,0.5625
605208,永茂泰,60.97,True,18.48,16.44,20,15.73,-4.44,6.7,12.43,0.7422,2026-06-29,2026-07-13,67.09,0.8648,1.0109,0.544,0.9189,0.7313,0.0933,0.7593,0.871,0.9355,多周期共振看多 ⬆⬆⬆,0.7775,0.6854,0.5625
603991,领先股份,138.77,True,154.99,140.16,22,27.17,1.79,13.65,10.58,0.85,2026-06-10,2026-07-13,64.11,0.5336,2.1497,0.8128,0.7201,0.7975,0.0,0.7522,0.8681,0.9341,多周期共振看多 ⬆⬆⬆,0.7505,0.7021,0.5625
002821,凯莱英,524.17,True,165.33,146.35,17,36.13,-4.74,13.57,12.97,0.7705,2026-06-17,2026-07-13,67.94,0.8535,2.3115,0.8161,0.9121,0.7124,0.0,0.7493,0.8308,0.9154,多周期共振看多 ⬆⬆⬆,0.6312,0.7223,0.5625
002185,华天科技,801.76,True,24.13,21.1,19,22.29,-8.33,8.81,14.36,0.7725,2026-06-15,2026-07-13,65.77,0.7305,2.4286,0.8267,0.8383,0.7606,0.0,0.7482,0.8777,0.9388,多周期共振看多 ⬆⬆⬆,0.8075,0.6744,0.5625
603928,兴业股份,57.65,True,16.92,14.01,16,36.8,-4.48,12.02,20.75,0.7545,2026-06-25,2026-07-13,65.73,0.8985,6.2447,1.0989,0.9391,0.7616,0.0,0.7471,0.7495,0.8748,多周期共振看多 ⬆⬆⬆,0.686,0.4967,0.5625
002653,海思科,364.69,True,67.94,61.7,17,45.23,-3.39,13.77,10.11,0.7705,2026-06-18,2026-07-13,65.26,0.9312,2.0192,0.8833,0.9587,0.7719,0.0,0.7469,0.6659,0.833,多周期共振看多 ⬆⬆⬆,0.5495,0.4976,0.495
603339,四方科技,49.45,True,15.98,14.4,17,16.47,-3.47,5.55,10.95,0.6592,2026-06-17,2026-07-13,59.27,0.9332,5.9593,0.6548,0.9599,0.9051,0.0,0.7422,0.7338,0.8669,多周期共振看多 ⬆⬆⬆,0.7122,0.5073,0.495
002674,兴业科技,96.43,True,32.96,25.45,22,70.87,4.62,29.54,29.5,0.85,2026-05-12,2026-07-13,69.88,0.5809,2.9102,1.1345,0.7486,0.6693,0.0,0.7382,0.8645,0.9323,多周期共振看多 ⬆⬆⬆,0.8705,0.5913,0.5625
