code,name,market_cap,is_tech,latest_close,latest_ma20,days_above_ma20,max_distance_above_ma20_pct,min_distance_above_ma20_pct,avg_distance_above_ma20_pct,latest_distance_above_ma20_pct,ma20_strength_score,last_breach_date,latest_date,rsi,volume_price_corr,volume_change_22d,volatility_20d,volume_price_score,rsi_score,volatility_score,composite_score,trend_score,trend_normalized,trend_phase,daily_trend_score,weekly_trend_score,monthly_trend_score
002422,科伦药业,572.3,True,44.07,39.92,21,26.76,-1.1,8.56,10.38,0.7982,2026-06-26,2026-07-10,65.02,0.9399,2.8622,0.7407,0.9639,0.7773,0.0,0.7737,0.7991,0.8996,多周期共振看多 ⬆⬆⬆,0.7865,0.5872,0.495
000021,深科技,911.59,True,57.91,51.18,21,46.22,-3.71,16.12,13.15,0.8341,2026-06-12,2026-07-10,63.69,0.8039,1.7021,0.9295,0.8824,0.8068,0.0,0.7702,0.7799,0.89,多周期共振看多 ⬆⬆⬆,0.612,0.6271,0.5625
603261,立航科技,43.3,True,55.87,48.32,19,45.53,-6.11,17.93,15.62,0.8023,2026-06-11,2026-07-10,62.74,0.6616,11.8233,0.9132,0.7969,0.8279,0.0,0.7593,0.8804,0.9402,多周期共振看多 ⬆⬆⬆,0.737,0.7408,0.5625
002158,汉钟精机,196.83,True,36.89,34.06,18,19.41,-11.23,7.42,8.31,0.6795,2026-06-15,2026-07-10,57.11,0.8575,2.4513,0.6989,0.9145,0.9531,0.0,0.752,0.7784,0.8892,多周期共振看多 ⬆⬆⬆,0.54,0.6854,0.5625
002821,凯莱英,524.42,True,165.41,143.89,16,36.13,-4.74,12.78,14.96,0.7545,2026-06-17,2026-07-10,68.84,0.8781,1.3503,0.8135,0.9269,0.6924,0.0,0.7467,0.8492,0.9246,多周期共振看多 ⬆⬆⬆,0.6785,0.7223,0.5625
603991,领先股份,144.43,True,161.31,138.54,21,27.17,-4.06,12.98,16.44,0.8341,2026-06-10,2026-07-10,66.58,0.5906,6.25,0.7891,0.7544,0.7428,0.0,0.7456,0.8646,0.9323,多周期共振看多 ⬆⬆⬆,0.7415,0.7021,0.5625
002747,埃斯顿,334.71,True,42.78,38.74,22,30.12,1.06,14.33,10.42,0.85,2026-04-28,2026-07-10,59.36,0.3503,0.9894,0.9224,0.6102,0.9032,0.0,0.7417,0.8335,0.9167,多周期共振看多 ⬆⬆⬆,0.791,0.5913,0.5625
600360,华微电子,161.23,True,16.79,13.69,17,22.68,-9.42,8.04,22.68,0.7214,2026-06-16,2026-07-10,72.44,0.9351,3.044,0.7792,0.9611,0.6123,0.0,0.7397,0.9136,0.9568,多周期共振看多 ⬆⬆⬆,0.8112,0.75,0.5625
600584,长电科技,1809.28,True,101.11,92.84,19,29.8,-7.73,11.0,8.91,0.7751,2026-06-15,2026-07-10,56.43,0.4957,0.8372,1.0017,0.6974,0.9682,0.0,0.7377,0.7636,0.8818,多周期共振看多 ⬆⬆⬆,0.502,0.6854,0.5625
002141,贤丰控股,53.2,True,5.15,4.88,20,47.92,-3.76,20.44,5.5,0.7057,2026-06-12,2026-07-10,56.81,0.7375,3.5499,1.1736,0.8425,0.9597,0.0,0.7309,0.6537,0.8268,多周期共振看多 ⬆⬆⬆,0.7055,0.2694,0.5625
603061,金海通,390.41,True,448.75,414.42,22,45.27,1.97,17.79,8.28,0.8071,2026-06-09,2026-07-10,65.56,0.5876,0.793,0.927,0.7526,0.7654,0.0,0.7309,0.7875,0.8938,多周期共振看多 ⬆⬆⬆,0.488,0.75,0.5625
002185,华天科技,840.96,True,25.31,20.7,18,22.29,-8.33,8.1,22.29,0.739,2026-06-15,2026-07-10,67.06,0.7285,0.802,0.8209,0.8371,0.7319,0.0,0.7307,0.8544,0.9272,多周期共振看多 ⬆⬆⬆,0.803,0.6271,0.5625
002745,木林森,136.63,True,12.84,11.76,19,20.01,-8.32,7.79,9.22,0.7276,2026-06-12,2026-07-10,58.81,0.5179,2.4685,0.7679,0.7107,0.9154,0.0,0.7306,0.8629,0.9315,多周期共振看多 ⬆⬆⬆,0.8665,0.5913,0.5625
605208,永茂泰,62.23,True,18.86,16.3,20,15.73,-4.44,6.31,15.73,0.7366,2026-06-29,2026-07-10,71.92,0.8291,0.3637,0.5343,0.8429,0.6239,0.1096,0.7304,0.8901,0.945,多周期共振看多 ⬆⬆⬆,0.848,0.6669,0.5625
603726,朗迪集团,60.39,True,32.71,30.67,19,24.63,-7.92,8.61,6.64,0.6837,2026-06-12,2026-07-10,59.84,0.702,4.1208,0.8372,0.8212,0.8924,0.0,0.7286,0.803,0.9015,多周期共振看多 ⬆⬆⬆,0.659,0.6375,0.5625
002860,星帅尔,56.14,True,16.32,14.8,19,24.79,-6.27,6.85,10.28,0.7235,2026-06-12,2026-07-10,63.11,0.7888,1.8234,0.6609,0.8733,0.8198,0.0,0.7248,0.681,0.8405,多周期共振看多 ⬆⬆⬆,0.7055,0.5544,0.3375
002536,飞龙股份,287.66,True,52.84,48.07,19,22.14,-4.51,8.71,9.93,0.7683,2026-06-12,2026-07-10,63.37,0.5527,0.5955,0.8879,0.7316,0.8141,0.0,0.7236,0.7976,0.8988,多周期共振看多 ⬆⬆⬆,0.5355,0.7315,0.5625
002653,海思科,372.15,True,69.33,60.82,16,45.23,-3.39,13.21,13.99,0.7545,2026-06-18,2026-07-10,69.77,0.9375,4.7034,0.8727,0.9625,0.6718,0.0,0.7232,0.6287,0.8144,多周期共振看多 ⬆⬆⬆,0.536,0.4273,0.495
600172,黄河旋风,216.96,True,17.0,16.16,18,30.25,-6.25,11.97,5.17,0.6657,2026-06-15,2026-07-10,55.56,0.5729,1.0403,0.9884,0.7438,0.9875,0.0,0.7191,0.7804,0.8902,多周期共振看多 ⬆⬆⬆,0.5345,0.6946,0.5625
000811,冰轮环境,523.15,True,53.47,47.46,19,49.99,-6.68,21.63,12.67,0.8023,2026-06-12,2026-07-10,63.31,0.4359,0.7635,0.9903,0.6616,0.8153,0.0,0.7173,0.7763,0.8881,多周期共振看多 ⬆⬆⬆,0.47,0.7408,0.5625
603928,兴业股份,64.05,True,18.8,13.74,15,36.8,-4.48,10.94,36.8,0.7386,2026-06-25,2026-07-10,73.74,0.9008,8.8983,1.0038,0.9405,0.5835,0.0,0.7127,0.724,0.862,多周期共振看多 ⬆⬆⬆,0.7288,0.404,0.5625
603339,四方科技,50.28,True,16.25,14.24,16,16.47,-3.47,4.94,14.11,0.6282,2026-06-17,2026-07-10,64.9,0.9455,8.5498,0.6474,0.9673,0.78,0.0,0.709,0.6809,0.8404,多周期共振看多 ⬆⬆⬆,0.68,0.4186,0.495
001359,平安电工,71.0,True,117.77,111.89,19,51.7,-2.62,20.49,5.25,0.6836,2026-07-08,2026-07-10,54.33,0.3884,1.1012,0.9123,0.633,0.9852,0.0,0.7079,0.8275,0.9138,多周期共振看多 ⬆⬆⬆,0.612,0.7315,0.5625
603757,大元泵业,144.63,True,77.53,67.68,16,32.08,-18.38,11.43,14.55,0.7545,2026-06-17,2026-07-10,64.33,0.424,0.8376,0.9563,0.6544,0.7927,0.0,0.7071,0.8475,0.9238,多周期共振看多 ⬆⬆⬆,0.6635,0.7315,0.5625
002415,海康威视,3116.49,True,34.45,33.23,18,9.95,-4.09,3.87,3.68,0.5112,2026-06-15,2026-07-10,57.53,0.7714,1.1304,0.4538,0.8628,0.9438,0.2436,0.7045,0.7008,0.8504,多周期共振看多 ⬆⬆⬆,0.572,0.4875,0.5625
603065,宿迁联盛,81.49,True,19.45,18.27,22,68.7,6.46,40.94,6.46,0.7616,2026-06-02,2026-07-10,57.41,0.3547,7.8541,1.0016,0.6128,0.9464,0.0,0.7037,0.6852,0.8426,多周期共振看多 ⬆⬆⬆,0.6115,0.4194,0.5625
603127,昭衍新药,272.44,True,43.22,37.57,16,17.75,-12.79,5.44,15.05,0.6406,2026-06-17,2026-07-10,65.26,0.9158,3.0169,0.704,0.9495,0.772,0.0,0.7033,0.6432,0.8216,多周期共振看多 ⬆⬆⬆,0.5975,0.3389,0.5625
002457,青龙管业,52.52,True,15.76,13.44,18,18.13,-4.35,5.15,17.28,0.6651,2026-06-30,2026-07-10,69.16,0.8948,0.4177,0.6658,0.904,0.6854,0.0,0.7008,0.7416,0.8708,多周期共振看多 ⬆⬆⬆,0.8112,0.5521,0.3825
003043,华亚智能,87.79,True,94.05,90.82,22,30.27,3.55,17.72,3.55,0.6888,2026-06-02,2026-07-10,57.56,0.4008,0.9459,0.9098,0.6405,0.9431,0.0,0.7007,0.7963,0.8982,多周期共振看多 ⬆⬆⬆,0.5105,0.75,0.5625
002371,北方华创,5808.13,True,801.0,787.03,21,30.77,-1.2,12.22,1.77,0.6285,2026-06-10,2026-07-10,55.88,0.501,0.9005,0.743,0.7006,0.9803,0.0,0.6993,0.7885,0.8942,多周期共振看多 ⬆⬆⬆,0.5335,0.7131,0.5625
