code,name,market_cap,is_tech,latest_close,latest_ma20,days_above_ma20,max_distance_above_ma20_pct,min_distance_above_ma20_pct,avg_distance_above_ma20_pct,latest_distance_above_ma20_pct,ma20_strength_score,last_breach_date,latest_date,rsi,volume_price_corr,volume_change_22d,volatility_20d,volume_price_score,rsi_score,volatility_score,composite_score
600458,时代新材,151.47,True,17.44,15.93,22,26.62,2.34,12.1,9.44,0.8361,从未跌破（观测期内）,2026-07-02,62.49,0.6585,4.0649,0.7811,0.7951,0.8336,0.0,0.7
002119,康强电子,144.41,True,38.48,32.51,21,31.96,-6.31,17.78,18.37,0.8341,从未跌破（观测期内）,2026-07-02,70.47,0.7187,1.2946,0.779,0.8312,0.6562,0.0,0.6727
600378,昊华科技,881.33,True,82.17,62.75,22,50.38,11.84,28.28,30.94,0.85,从未跌破（观测期内）,2026-07-02,67.58,0.5679,1.2114,0.9881,0.7407,0.7204,0.0,0.6693
000823,超声电子,139.21,True,23.4,21.69,21,42.94,-1.53,16.54,7.88,0.7811,从未跌破（观测期内）,2026-07-02,59.52,0.4219,1.0863,1.1488,0.6531,0.8995,0.0,0.6556
003043,华亚智能,91.79,True,101.2,83.37,21,30.27,-1.42,16.68,21.39,0.8341,从未跌破（观测期内）,2026-07-02,67.37,0.4955,1.9049,0.9059,0.6973,0.7252,0.0,0.653
003026,中晶科技,57.25,True,39.6,36.96,17,27.43,-9.56,9.18,7.14,0.6783,从未跌破（观测期内）,2026-07-02,58.4,0.6131,2.9456,0.8707,0.7679,0.9245,0.0,0.6482
000920,沃顿科技,70.28,True,14.87,14.03,22,19.8,0.2,10.11,5.98,0.7494,从未跌破（观测期内）,2026-07-02,58.94,0.6884,0.0328,0.794,0.6262,0.9125,0.0,0.6388
002937,兴瑞科技,139.0,True,44.1,40.18,21,19.46,-0.47,10.24,9.77,0.8283,从未跌破（观测期内）,2026-07-02,72.59,0.3353,0.5958,0.4684,0.6012,0.609,0.2193,0.6363
002925,盈趣科技,174.35,True,23.85,22.73,21,13.11,-0.59,5.92,4.92,0.6352,从未跌破（观测期内）,2026-07-02,63.28,0.6652,0.5369,0.5331,0.7991,0.816,0.1115,0.6338
000021,深科技,882.0,True,56.03,46.12,19,46.22,-6.54,13.11,21.5,0.8023,从未跌破（观测期内）,2026-07-02,71.53,0.8954,-0.0298,0.9083,0.7253,0.6327,0.0,0.6288
002674,兴业科技,82.65,True,28.25,20.48,22,70.87,0.7,21.78,37.96,0.85,从未跌破（观测期内）,2026-07-02,74.15,0.4654,6.2118,1.0628,0.6792,0.5745,0.0,0.6247
000100,TCL科技,1132.62,True,5.92,5.03,22,23.26,1.44,8.74,17.73,0.8185,从未跌破（观测期内）,2026-07-02,77.43,0.6448,1.4088,0.737,0.7869,0.5015,0.0,0.6244
600460,士兰微,840.36,True,50.5,42.21,19,35.24,-4.22,15.49,19.63,0.8023,从未跌破（观测期内）,2026-07-02,80.93,0.8706,0.2789,0.7777,0.8339,0.4238,0.0,0.6142
600360,华微电子,135.4,True,14.1,12.78,16,16.97,-9.42,6.06,10.33,0.6561,从未跌破（观测期内）,2026-07-02,71.56,0.8053,0.5581,0.8411,0.8832,0.6321,0.0,0.6097
002955,鸿合科技,73.45,True,37.54,32.13,22,25.11,1.48,14.33,16.84,0.85,从未跌破（观测期内）,2026-07-02,74.27,0.3373,0.918,0.5843,0.6024,0.5718,0.0262,0.6089
002965,祥鑫科技,97.45,True,51.18,43.08,20,31.19,-7.19,12.63,18.8,0.8182,从未跌破（观测期内）,2026-07-02,80.98,0.6226,2.4508,0.6955,0.7736,0.4227,0.0,0.6052
603386,骏亚科技,61.84,True,18.95,18.59,22,15.31,1.91,7.65,1.91,0.631,从未跌破（观测期内）,2026-07-02,55.61,0.5464,0.0847,0.5455,0.5617,0.9863,0.0909,0.6037
603690,至纯科技,135.72,True,35.44,30.48,13,25.15,-8.51,6.77,16.27,0.626,从未跌破（观测期内）,2026-07-02,76.32,0.9207,2.2121,0.5693,0.9524,0.5262,0.0512,0.6014
603181,皇马科技,97.43,True,16.55,15.49,16,15.7,-8.54,5.2,6.86,0.5561,从未跌破（观测期内）,2026-07-02,68.46,0.7603,0.7452,0.5188,0.8562,0.7009,0.1353,0.597
002409,雅克科技,676.8,True,212.48,158.03,20,54.21,-6.02,21.76,34.46,0.8182,从未跌破（观测期内）,2026-07-02,76.53,0.4265,0.9768,0.9797,0.6559,0.5216,0.0,0.5956
603135,中重科技,86.44,True,13.73,13.07,14,31.46,-9.66,5.19,5.05,0.4787,从未跌破（观测期内）,2026-07-02,58.09,0.7719,5.757,0.9836,0.8631,0.9314,0.0,0.5936
600237,铜峰电子,79.14,True,12.67,12.04,20,23.48,-6.8,10.75,5.24,0.6992,从未跌破（观测期内）,2026-07-02,62.95,0.5188,0.2046,1.0626,0.5931,0.8234,0.0,0.5927
603324,盛剑科技,73.5,True,49.77,40.39,20,42.9,-3.97,18.77,23.21,0.8182,从未跌破（观测期内）,2026-07-02,72.29,0.688,-0.1674,0.9446,0.5458,0.6158,0.0,0.5869
001229,魅视科技,27.66,True,37.5,29.22,20,29.05,-1.83,8.28,28.32,0.7751,从未跌破（观测期内）,2026-07-02,85.09,0.7316,3.3685,0.6648,0.839,0.3314,0.0,0.5861
002935,天奥电子,95.27,True,23.02,20.92,15,11.07,-9.68,1.82,10.01,0.5342,从未跌破（观测期内）,2026-07-02,67.39,0.8037,1.74,0.5727,0.8822,0.7247,0.0455,0.586
002654,万润科技,160.6,True,19.0,17.65,13,29.53,-13.75,5.53,7.64,0.536,从未跌破（观测期内）,2026-07-02,63.37,0.7066,0.8367,0.8457,0.8239,0.814,0.0,0.5832
002577,雷柏科技,54.17,True,19.3,18.38,10,6.79,-5.38,0.02,4.98,0.3348,从未跌破（观测期内）,2026-07-02,59.23,0.8227,0.8802,0.4422,0.8936,0.9061,0.263,0.578
603986,兆易创新,4644.75,True,694.81,620.31,22,45.34,1.1,19.43,12.01,0.85,从未跌破（观测期内）,2026-07-02,67.22,0.363,-0.1326,1.0789,0.3648,0.7285,0.0,0.5769
603339,四方科技,44.19,True,14.28,13.66,11,16.47,-4.56,2.35,4.54,0.3472,从未跌破（观测期内）,2026-07-02,64.62,0.9605,2.9415,0.491,0.9763,0.7863,0.1817,0.5675
605228,神通科技,67.94,True,14.24,13.16,9,8.18,-10.37,-1.3,8.18,0.3192,从未跌破（观测期内）,2026-07-02,61.11,0.8072,3.3836,0.424,0.8843,0.8642,0.2934,0.5656
002326,永太科技,226.28,True,28.0,23.58,14,18.73,-8.05,3.89,18.73,0.5699,从未跌破（观测期内）,2026-07-02,75.35,0.8471,7.1549,0.6229,0.9083,0.5478,0.0,0.5646
603125,常青科技,126.96,True,31.36,27.92,13,20.46,-7.94,6.76,12.32,0.6258,从未跌破（观测期内）,2026-07-02,77.14,0.7085,0.524,0.638,0.8251,0.508,0.0,0.5582
000925,众合科技,68.52,True,10.21,8.76,12,18.77,-13.85,2.46,16.55,0.5024,从未跌破（观测期内）,2026-07-02,72.23,0.8586,2.9278,0.6885,0.9152,0.617,0.0,0.5532
603203,快克智能,201.5,True,62.21,62.84,21,32.62,-1.01,13.72,-1.01,0.5589,从未跌破（观测期内）,2026-07-02,52.8,0.3887,0.3058,0.994,0.5555,0.951,0.0,0.5526
603002,宏昌电子,258.46,True,22.79,21.28,21,40.53,-7.73,15.93,7.11,0.7617,从未跌破（观测期内）,2026-07-02,63.7,0.3247,-0.1219,1.1059,0.346,0.8066,0.0,0.5525
603738,泰晶科技,229.41,True,59.45,55.53,14,27.67,-11.22,9.68,7.06,0.6411,从未跌破（观测期内）,2026-07-02,64.27,0.2451,0.66,0.9255,0.5471,0.7941,0.0,0.552
603005,晶方科技,309.06,True,47.39,47.05,21,19.33,-0.62,10.1,0.73,0.6023,从未跌破（观测期内）,2026-07-02,55.48,0.5528,-0.2308,0.8471,0.4394,0.9893,0.0,0.5486
600601,方正科技,622.21,True,14.92,13.28,12,12.39,-6.4,2.6,12.39,0.5059,从未跌破（观测期内）,2026-07-02,68.65,0.6861,0.4988,0.7795,0.8112,0.6967,0.0,0.5445
603668,天马科技,65.1,True,12.87,11.63,9,12.99,-11.1,-0.02,10.64,0.3927,从未跌破（观测期内）,2026-07-02,69.27,0.8791,2.2454,0.533,0.9275,0.683,0.1117,0.5423
603004,鼎龙科技,14.59,True,24.78,21.58,15,15.87,-9.27,5.17,14.85,0.6179,从未跌破（观测期内）,2026-07-02,91.25,0.8576,1.4715,0.4908,0.9145,0.1944,0.182,0.542
600520,三佳科技,58.11,True,36.68,32.15,11,26.47,-12.01,3.1,14.08,0.5026,从未跌破（观测期内）,2026-07-02,71.3,0.8267,0.3852,0.7047,0.8501,0.6378,0.0,0.5411
002415,海康威视,3040.5,True,33.61,32.09,12,9.95,-5.56,1.38,4.75,0.3442,从未跌破（观测期内）,2026-07-02,67.01,0.881,0.3765,0.4583,0.8792,0.7331,0.2362,0.5395
002587,奥拓电子,38.3,True,7.19,7.06,14,11.68,-4.67,1.12,1.87,0.3304,从未跌破（观测期内）,2026-07-02,54.96,0.7119,2.1232,0.6337,0.8271,0.9991,0.0,0.5387
002132,恒星科技,80.17,True,5.73,5.41,10,7.95,-9.94,0.51,5.85,0.3443,从未跌破（观测期内）,2026-07-02,59.42,0.6991,1.9277,0.5384,0.8195,0.9018,0.1026,0.5383
