code,name,market_cap,is_tech,latest_close,latest_ma20,days_above_ma20,max_distance_above_ma20_pct,min_distance_above_ma20_pct,avg_distance_above_ma20_pct,latest_distance_above_ma20_pct,ma20_strength_score,last_breach_date,latest_date,rsi,volume_price_corr,volume_change_22d,volatility_20d,volume_price_score,rsi_score,volatility_score,composite_score
603900,莱绅通灵,20.73,False,6.05,6.08,0,-0.53,-10.51,-7.15,-0.53,0.0,从未跌破（观测期内）,2026-07-03,38.89,-0.5755,0.3365,0.3395,0.3346,0.642,0.4342,0.2772
000529,广弘控股,26.39,False,4.63,4.56,1,1.55,-7.63,-5.39,1.55,0.0021,从未跌破（观测期内）,2026-07-03,46.79,-0.3624,-0.0594,0.3257,0.1762,0.8175,0.4572,0.277
600114,东睦股份,232.56,False,37.73,40.36,16,13.73,-10.63,3.79,-6.51,0.1866,从未跌破（观测期内）,2026-07-03,47.44,0.0091,-0.1541,0.6101,0.1438,0.832,0.0,0.277
600258,首旅酒店,128.74,False,11.53,11.81,0,-0.8,-10.06,-4.99,-2.38,0.0,从未跌破（观测期内）,2026-07-03,36.0,-0.4193,0.426,0.3255,0.3704,0.5778,0.4576,0.2768
600197,伊力特,47.41,False,10.02,10.22,0,-1.95,-13.89,-9.66,-1.95,0.0,从未跌破（观测期内）,2026-07-03,38.46,0.4846,-0.6302,0.2899,0.2908,0.6325,0.5168,0.2767
603712,七一二,100.13,False,12.97,13.14,0,-1.28,-10.87,-7.66,-1.28,0.0,从未跌破（观测期内）,2026-07-03,38.29,-0.308,0.8864,0.3964,0.4,0.6286,0.3393,0.2766
601999,出版传媒,31.79,False,5.77,5.73,1,0.63,-9.2,-4.8,0.63,0.0,从未跌破（观测期内）,2026-07-03,40.52,0.532,-0.4372,0.3815,0.3443,0.6783,0.3641,0.2764
000553,安道麦A,128.23,False,5.89,5.81,1,1.44,-11.86,-5.38,1.44,0.0,从未跌破（观测期内）,2026-07-03,45.35,-0.2634,0.2095,0.4065,0.2838,0.7855,0.3225,0.2764
605218,伟时电子,34.22,True,16.08,16.91,5,3.58,-11.1,-3.83,-4.93,0.0,从未跌破（观测期内）,2026-07-03,42.63,0.479,-0.1787,0.4905,0.4159,0.7252,0.1826,0.2764
601011,宝泰隆,51.53,False,2.69,2.84,6,11.94,-10.3,-1.87,-5.3,0.0,从未跌破（观测期内）,2026-07-03,41.22,0.9176,-0.6419,0.6635,0.5505,0.6938,0.0,0.2764
002996,顺博合金,28.51,False,6.22,6.23,1,0.11,-9.77,-5.33,-0.12,0.0,从未跌破（观测期内）,2026-07-03,44.37,-0.2689,0.1117,0.3501,0.2447,0.7639,0.4164,0.2764
001379,腾达科技,11.01,True,16.36,16.74,0,-2.25,-12.68,-8.78,-2.25,0.0,从未跌破（观测期内）,2026-07-03,37.75,-0.2808,0.2753,0.2994,0.3101,0.6166,0.501,0.276
600157,永泰能源,342.54,False,1.57,1.64,3,3.41,-10.42,-4.54,-4.38,0.0,从未跌破（观测期内）,2026-07-03,31.43,0.7378,-0.6791,0.3197,0.4427,0.4762,0.4671,0.276
603029,天鹅股份,18.26,False,15.05,15.13,0,-0.52,-11.7,-7.64,-0.52,0.0,从未跌破（观测期内）,2026-07-03,44.58,-0.0613,0.1258,0.3609,0.2503,0.7683,0.3985,0.276
002753,永东股份,17.87,False,6.04,6.17,1,0.1,-10.25,-5.05,-2.18,0.0,从未跌破（观测期内）,2026-07-03,39.25,-0.4227,0.4316,0.389,0.3726,0.6499,0.3517,0.2759
600036,招商银行,7597.64,False,36.83,37.54,11,3.75,-6.2,-0.73,-1.9,0.1641,从未跌破（观测期内）,2026-07-03,31.52,-0.5055,-0.3213,0.2129,0.0715,0.4782,0.6451,0.2759
002313,日海智能,30.4,True,8.12,8.08,1,0.54,-13.26,-8.38,0.54,0.0,从未跌破（观测期内）,2026-07-03,49.58,-0.0418,3.031,0.6135,0.4,0.8795,0.0,0.2759
002425,凯撒文化,25.49,False,2.77,2.79,0,-0.57,-12.79,-7.49,-0.57,0.0,从未跌破（观测期内）,2026-07-03,44.12,0.125,-0.081,0.3455,0.2426,0.7582,0.4242,0.2759
600876,凯盛新能,28.69,False,7.25,8.2,3,13.03,-15.39,-5.64,-11.61,0.0,从未跌破（观测期内）,2026-07-03,38.91,0.4317,0.3257,0.7342,0.5893,0.6425,0.0,0.2758
605011,杭州热电,69.58,False,17.39,17.44,0,-0.29,-18.5,-11.92,-0.29,0.0,从未跌破（观测期内）,2026-07-03,48.38,0.554,-0.3258,0.5823,0.4021,0.8529,0.0294,0.2755
600977,中国电影,258.58,False,13.85,13.79,4,6.14,-8.55,-2.64,0.43,0.0588,从未跌破（观测期内）,2026-07-03,50.63,0.2615,-0.1799,0.6315,0.285,0.903,0.0,0.2754
603305,旭升集团,150.59,False,13.03,13.25,0,-1.68,-15.71,-9.4,-1.68,0.0,从未跌破（观测期内）,2026-07-03,44.16,0.0227,1.5294,0.5193,0.4136,0.759,0.1345,0.2754
000411,英特集团,53.78,False,9.54,9.68,1,0.47,-19.7,-9.65,-1.5,0.0,从未跌破（观测期内）,2026-07-03,50.72,0.6292,-0.7864,0.6424,0.3775,0.9048,0.0,0.2753
000609,*ST中迪,37.6,False,12.92,12.2,6,11.68,-13.63,-4.83,5.87,0.1214,从未跌破（观测期内）,2026-07-03,63.8,0.2676,-0.3541,0.5562,0.2189,0.8045,0.073,0.2752
600415,小商品城,582.35,False,10.62,10.54,1,0.73,-14.27,-8.24,0.73,0.0,从未跌破（观测期内）,2026-07-03,47.12,0.0399,0.0934,0.421,0.2613,0.8248,0.2984,0.275
002780,三夫户外,17.14,False,13.12,13.05,1,0.56,-12.49,-6.36,0.56,0.0,从未跌破（观测期内）,2026-07-03,40.36,0.3128,-0.1431,0.3701,0.3304,0.6746,0.3832,0.275
603755,日辰股份,24.07,False,24.41,24.57,3,1.69,-9.89,-4.84,-0.65,0.0,从未跌破（观测期内）,2026-07-03,32.53,0.3769,0.1677,0.3936,0.4932,0.5006,0.344,0.275
600917,重庆燃气,73.84,False,4.73,4.83,0,-2.08,-7.23,-4.46,-2.1,0.0,从未跌破（观测期内）,2026-07-03,31.71,0.4173,-0.3139,0.2119,0.3248,0.4824,0.6469,0.2747
600033,福建高速,92.76,False,3.38,3.44,3,1.79,-7.23,-2.25,-1.69,0.0343,从未跌破（观测期内）,2026-07-03,37.5,0.3318,-0.4613,0.2598,0.2146,0.6111,0.5671,0.2746
000917,电广传媒,95.25,False,6.72,7.03,3,4.11,-14.75,-6.57,-4.41,0.0,从未跌破（观测期内）,2026-07-03,48.12,0.5785,-0.5986,0.5265,0.3471,0.8472,0.1226,0.2746
603041,美思德,19.82,False,10.82,11.15,0,-2.96,-10.83,-8.22,-2.96,0.0,从未跌破（观测期内）,2026-07-03,33.47,0.1523,0.1733,0.2801,0.3607,0.5216,0.5331,0.2745
002069,獐子岛,21.87,False,3.08,3.14,0,-1.77,-8.33,-6.2,-1.77,0.0,从未跌破（观测期内）,2026-07-03,37.33,0.3227,-0.0975,0.3426,0.3546,0.6074,0.429,0.2745
600501,航天晨光,69.86,False,16.33,16.77,0,-2.61,-14.58,-9.6,-2.61,0.0,从未跌破（观测期内）,2026-07-03,35.44,-0.6557,0.8168,0.3544,0.4,0.5654,0.4093,0.2745
002882,金龙羽,48.37,False,19.6,20.34,0,-0.98,-14.67,-7.62,-3.65,0.0,从未跌破（观测期内）,2026-07-03,30.85,0.4561,1.3366,0.5472,0.6737,0.4634,0.0879,0.2743
605199,ST葫芦娃,24.05,False,6.01,5.97,1,0.71,-14.96,-7.01,0.71,0.0,从未跌破（观测期内）,2026-07-03,41.04,-0.2665,2.022,0.4555,0.4,0.6897,0.2409,0.2741
600067,冠城新材,40.64,False,2.92,3.14,8,15.99,-9.06,-0.61,-7.14,0.0,从未跌破（观测期内）,2026-07-03,25.44,0.8436,0.2896,0.6838,0.822,0.3431,0.0,0.2741
001283,豪鹏科技,52.53,True,50.8,50.09,3,2.99,-16.03,-6.05,1.41,0.0,从未跌破（观测期内）,2026-07-03,58.92,0.5954,-0.4803,0.6757,0.3651,0.913,0.0,0.2739
001208,华菱线缆,46.98,False,14.74,15.09,0,-2.03,-10.98,-6.72,-2.34,0.0,从未跌破（观测期内）,2026-07-03,29.62,0.3236,0.3691,0.3948,0.5418,0.436,0.342,0.2739
002818,富森美,31.47,False,10.55,10.98,7,2.17,-6.3,-1.62,-3.92,0.0501,从未跌破（观测期内）,2026-07-03,33.01,0.4335,-0.4193,0.2864,0.2924,0.5114,0.5226,0.2738
600035,楚天高速,55.55,False,3.45,3.53,1,0.34,-5.66,-2.32,-2.31,0.0,从未跌破（观测期内）,2026-07-03,31.11,0.4776,-0.6308,0.1669,0.2866,0.4691,0.7218,0.2737
600419,天润乳业,25.24,False,8.0,7.88,1,1.59,-9.75,-5.25,1.59,0.0,从未跌破（观测期内）,2026-07-03,49.24,-0.1224,-0.2021,0.322,0.1192,0.872,0.4634,0.2737
002659,凯文教育,23.69,False,3.96,4.01,0,-1.3,-10.46,-7.33,-1.3,0.0,从未跌破（观测期内）,2026-07-03,36.59,-0.492,0.3514,0.3191,0.3406,0.5908,0.4682,0.2735
603843,*ST正平,57.37,False,8.2,8.43,11,5.87,-11.67,-0.31,-2.73,0.1031,从未跌破（观测期内）,2026-07-03,41.86,0.2288,0.0107,0.579,0.3416,0.708,0.0351,0.2735
601061,中信金属,552.23,False,11.27,11.49,1,0.73,-15.84,-7.63,-1.94,0.0,从未跌破（观测期内）,2026-07-03,49.15,0.303,-0.0598,0.5606,0.3579,0.8701,0.0657,0.2733
600101,明星电力,45.09,False,8.23,8.76,2,6.39,-14.96,-7.5,-6.03,0.0,从未跌破（观测期内）,2026-07-03,28.1,0.8771,-0.6526,0.355,0.5262,0.4021,0.4083,0.2732
000869,张  裕Ａ,74.12,False,16.29,16.7,0,-1.52,-8.44,-4.87,-2.47,0.0,从未跌破（观测期内）,2026-07-03,33.15,-0.6655,0.3749,0.2686,0.3499,0.5144,0.5523,0.2732
603568,伟明环保,321.2,False,15.68,15.96,12,9.07,-9.16,0.58,-1.78,0.1684,从未跌破（观测期内）,2026-07-03,44.01,0.0607,-0.4664,0.4316,0.0498,0.7558,0.2806,0.2731
002796,世嘉科技,83.98,True,36.88,40.29,0,-2.18,-17.06,-9.9,-8.47,0.0,从未跌破（观测期内）,2026-07-03,44.0,0.4443,-0.0142,0.5732,0.4609,0.7555,0.0446,0.273
600589,大位科技,141.93,True,9.6,9.98,2,4.51,-17.22,-7.44,-3.76,0.0,从未跌破（观测期内）,2026-07-03,52.42,0.5168,-0.434,0.7069,0.3365,0.9426,0.0,0.2726
002277,友阿股份,88.53,False,6.35,6.27,6,2.91,-11.15,-3.85,1.22,0.052,从未跌破（观测期内）,2026-07-03,48.41,0.1258,0.1212,0.6858,0.324,0.8536,0.0,0.2725
