code,name,market_cap,is_tech,latest_close,latest_ma20,days_above_ma20,max_distance_above_ma20_pct,min_distance_above_ma20_pct,avg_distance_above_ma20_pct,latest_distance_above_ma20_pct,ma20_strength_score,last_breach_date,latest_date
601985,中国核电,1756.15,True,9.3,9.04,13,3.01,-3.67,0.28,2.89,0.3665,从未跌破（观测期内）,2026-06-17
605588,冠石科技,46.09,True,63.05,57.45,10,14.38,-15.38,-1.51,9.75,0.3651,从未跌破（观测期内）,2026-06-17
000727,冠捷科技,133.62,True,2.95,2.87,17,6.8,-11.34,0.87,2.72,0.3617,从未跌破（观测期内）,2026-06-17
601138,工业富联,14414.75,True,72.64,72.69,16,16.06,-3.31,4.35,-0.07,0.3616,从未跌破（观测期内）,2026-06-17
001229,魅视科技,20.23,True,27.43,26.45,14,7.75,-8.04,1.25,3.72,0.3616,从未跌破（观测期内）,2026-06-17
600545,卓郎智能,117.82,True,6.59,6.68,14,27.16,-17.77,6.71,-1.32,0.3576,从未跌破（观测期内）,2026-06-17
002635,安洁科技,72.66,True,18.37,17.43,12,11.44,-8.94,1.17,5.37,0.3546,从未跌破（观测期内）,2026-06-17
001259,利仁科技,32.78,True,68.95,72.38,14,88.89,-11.57,22.71,-4.73,0.3544,从未跌破（观测期内）,2026-06-17
603228,景旺电子,788.05,True,80.76,77.35,12,17.28,-9.9,1.98,4.4,0.3506,从未跌破（观测期内）,2026-06-17
603181,皇马科技,92.54,True,15.72,14.36,8,14.47,-8.54,-0.63,9.47,0.3481,从未跌破（观测期内）,2026-06-17
002654,万润科技,144.2,True,17.06,16.07,11,22.97,-13.75,0.57,6.17,0.3434,从未跌破（观测期内）,2026-06-17
603039,泛微网络,126.69,True,41.18,41.19,14,20.18,-5.82,4.21,-0.01,0.3277,从未跌破（观测期内）,2026-06-17
001314,亿道信息,71.55,True,57.52,56.1,14,14.67,-8.84,1.66,2.53,0.3274,从未跌破（观测期内）,2026-06-17
001335,信凯科技,12.36,True,48.38,47.69,14,8.26,-5.18,0.9,1.45,0.3269,从未跌破（观测期内）,2026-06-17
603610,麒盛科技,65.3,True,18.5,17.94,12,13.09,-6.57,1.77,3.12,0.3131,从未跌破（观测期内）,2026-06-17
002426,胜利精密,139.17,True,4.09,3.66,6,12.64,-10.62,-1.29,11.72,0.3131,从未跌破（观测期内）,2026-06-17
002008,大族激光,1299.62,True,135.84,130.79,11,22.36,-11.31,1.66,3.86,0.3131,从未跌破（观测期内）,2026-06-17
603690,至纯科技,110.79,True,28.93,27.5,10,16.13,-11.36,0.88,5.18,0.3106,从未跌破（观测期内）,2026-06-17
603135,中重科技,80.2,True,12.74,12.22,9,31.46,-13.08,2.13,4.25,0.3025,从未跌破（观测期内）,2026-06-17
002983,芯瑞达,33.37,True,26.04,24.93,10,11.49,-9.06,1.23,4.47,0.3014,从未跌破（观测期内）,2026-06-17
603031,安孚科技,166.16,True,52.85,55.73,15,27.41,-9.51,7.58,-5.17,0.299,从未跌破（观测期内）,2026-06-17
002297,博云新材,147.75,True,25.78,22.68,9,19.48,-20.05,-3.85,13.65,0.2969,从未跌破（观测期内）,2026-06-17
002174,游族网络,113.79,True,11.62,11.25,10,15.63,-12.75,1.37,3.29,0.2756,从未跌破（观测期内）,2026-06-17
603516,淳中科技,275.69,True,135.53,120.51,7,12.47,-11.99,-3.63,12.47,0.2705,从未跌破（观测期内）,2026-06-17
001308,康冠科技,100.37,True,20.6,21.04,15,9.05,-5.36,1.88,-2.1,0.2639,从未跌破（观测期内）,2026-06-17
001256,炜冈科技,27.38,True,25.61,24.03,9,7.52,-10.01,-1.78,6.58,0.263,从未跌破（观测期内）,2026-06-17
