code,name,market_cap,is_tech,latest_close,latest_ma20,days_above_ma20,max_distance_above_ma20_pct,min_distance_above_ma20_pct,avg_distance_above_ma20_pct,latest_distance_above_ma20_pct,ma20_strength_score,last_breach_date,latest_date,rsi,volume_price_corr,volume_change_22d,volatility_20d,volume_price_score,rsi_score,volatility_score,composite_score
002768,国恩股份,149.98,True,58.0,51.66,20,19.92,-3.02,9.41,12.26,0.8033,2026-06-09,2026-07-07,64.67,0.8158,3.8755,0.5011,0.8895,0.785,0.1648,0.7254
002901,大博医疗,127.28,True,44.13,42.06,20,8.95,-1.39,2.57,4.92,0.5836,2026-06-08,2026-07-07,62.69,0.8774,1.2508,0.3085,0.9265,0.8292,0.4858,0.7038
603155,新亚强,85.89,True,27.2,24.9,22,30.25,0.6,13.95,9.25,0.8311,2026-06-02,2026-07-07,58.64,0.5598,1.7446,1.1304,0.7359,0.9192,0.0,0.7003
002422,科伦药业,566.33,True,43.61,38.99,21,26.76,-1.1,7.74,11.84,0.7775,2026-06-26,2026-07-07,66.99,0.939,3.3037,0.7427,0.9634,0.7335,0.0,0.6985
000970,中科三环,201.2,True,16.55,14.73,21,21.64,-2.84,12.09,12.36,0.8341,2026-06-05,2026-07-07,59.91,0.4765,7.4007,0.8465,0.6859,0.8909,0.0,0.6833
600366,宁波韵升,181.45,True,16.51,14.73,20,17.59,-2.13,8.42,12.11,0.7787,2026-06-08,2026-07-07,63.47,0.7141,2.95,0.7367,0.8284,0.8118,0.0,0.681
002141,贤丰控股,60.43,True,5.85,4.59,17,47.92,-12.26,17.64,27.37,0.7705,2026-06-12,2026-07-07,69.22,0.8542,12.1887,1.1703,0.9125,0.6841,0.0,0.6731
605208,永茂泰,58.37,True,17.69,15.98,20,10.7,-4.44,5.12,10.7,0.7271,2026-06-29,2026-07-08,64.73,0.6814,1.3429,0.5281,0.8088,0.7837,0.1198,0.6678
603379,三美股份,429.11,True,70.29,68.85,20,27.09,-2.92,9.11,2.1,0.5985,2026-06-09,2026-07-07,53.42,0.8999,0.754,0.8733,0.9399,0.9649,0.0,0.6674
603650,彤程新材,521.5,True,84.87,76.0,19,46.5,-7.64,18.57,11.67,0.8023,2026-06-09,2026-07-07,66.42,0.6465,1.3718,0.945,0.7879,0.7462,0.0,0.6671
603991,领先股份,135.98,True,151.87,133.59,19,27.17,-12.55,10.27,13.68,0.8023,2026-06-10,2026-07-08,73.8,0.8004,2.1008,0.7697,0.8802,0.5823,0.0,0.6574
002520,日发精机,55.96,True,7.8,7.0,21,17.09,-0.02,6.61,11.45,0.7632,2026-06-05,2026-07-07,63.38,0.5878,1.5561,0.6683,0.7527,0.8137,0.0,0.6562
002674,兴业科技,77.53,True,26.5,22.42,22,70.87,1.67,25.49,18.2,0.85,2026-05-12,2026-07-07,69.01,0.5182,3.4733,1.1276,0.7109,0.6887,0.0,0.6555
603261,立航科技,40.72,True,52.54,45.0,16,45.53,-8.46,14.58,16.75,0.7545,2026-06-11,2026-07-07,68.33,0.752,2.7482,0.9359,0.8512,0.7037,0.0,0.6554
603456,九洲药业,129.08,True,14.64,13.34,17,15.83,-4.93,3.84,9.78,0.611,2026-06-11,2026-07-07,70.76,0.9096,2.4401,0.4302,0.9458,0.6499,0.2829,0.6533
