code,name,market_cap,is_tech,latest_close,latest_ma20,days_above_ma20,max_distance_above_ma20_pct,min_distance_above_ma20_pct,avg_distance_above_ma20_pct,latest_distance_above_ma20_pct,ma20_strength_score,last_breach_date,latest_date,rsi,volume_price_corr,volume_change_22d,volatility_20d,volume_price_score,rsi_score,volatility_score,composite_score,trend_score,trend_normalized,trend_phase,daily_trend_score,weekly_trend_score,monthly_trend_score
002422,科伦药业,666.84,True,51.35,45.05,21,26.76,-1.1,11.81,13.99,0.8341,2026-06-26,2026-07-23,56.42,0.7558,1.0597,0.8912,0.8535,0.9684,0.0,0.8021,0.8874,0.9437,多周期共振看多 ⬆⬆⬆,0.866,0.7131,0.495
000938,紫光股份,1214.1,True,42.45,34.68,20,32.15,-5.27,15.27,22.41,0.8182,2026-06-29,2026-07-23,68.21,0.9159,3.5357,1.0614,0.9496,0.7064,0.0,0.7649,0.7885,0.8942,多周期共振看多 ⬆⬆⬆,0.6785,0.589,0.5625
600267,海正药业,142.34,True,12.06,11.13,22,15.08,1.73,7.83,8.37,0.788,2026-06-22,2026-07-23,64.46,0.9251,1.8703,0.616,0.9551,0.7898,0.0,0.7448,0.5912,0.7956,多周期共振看多 ⬆⬆⬆,0.692,0.3236,0.3825
000977,浪潮信息,1290.23,True,87.96,77.87,22,30.83,0.63,12.54,12.95,0.85,2026-06-16,2026-07-23,70.99,0.8159,1.6674,0.8783,0.8895,0.6446,0.0,0.7415,0.6953,0.8477,多周期共振看多 ⬆⬆⬆,0.623,0.4991,0.495
000739,普洛药业,238.43,True,20.59,18.65,21,18.47,-1.73,8.06,10.43,0.7899,2026-06-26,2026-07-23,67.05,0.7862,0.9632,0.531,0.8717,0.7321,0.1151,0.7261,0.5477,0.7738,多周期共振看多 ⬆⬆⬆,0.6965,0.2243,0.3825
002860,星帅尔,58.17,True,16.91,16.0,22,24.79,0.61,8.65,5.68,0.7084,2026-06-12,2026-07-23,56.5,0.5889,1.0662,0.6346,0.7533,0.9667,0.0,0.7214,0.7058,0.8529,多周期共振看多 ⬆⬆⬆,0.681,0.63,0.3375
002396,星网锐捷,256.99,True,33.93,26.51,17,42.03,-10.96,18.42,27.98,0.7705,2026-06-30,2026-07-23,75.72,0.8533,5.192,0.9341,0.912,0.5395,0.0,0.6947,0.6016,0.8008,多周期共振看多 ⬆⬆⬆,0.6987,0.4084,0.315
002841,视源股份,239.3,True,45.9,43.93,18,42.05,-7.28,13.8,4.47,0.6482,2026-06-29,2026-07-23,65.1,0.8862,3.8926,0.8104,0.9317,0.7756,0.0,0.6799,0.4621,0.731,多周期共振看多 ⬆⬆⬆,0.3665,0.544,0.1575
002415,海康威视,3235.9,True,35.77,34.15,20,9.95,-1.76,4.21,4.75,0.602,2026-07-17,2026-07-23,60.47,0.2865,0.318,0.3472,0.4991,0.8784,0.4214,0.6753,0.7682,0.8841,多周期共振看多 ⬆⬆⬆,0.6247,0.5905,0.5625
002653,海思科,386.59,True,72.02,70.04,22,45.23,2.74,16.9,2.83,0.6707,2026-06-18,2026-07-23,43.89,0.7001,0.3421,0.9493,0.7569,0.753,0.0,0.6722,0.6531,0.8266,多周期共振看多 ⬆⬆⬆,0.4975,0.514,0.495
002141,贤丰控股,57.22,True,5.54,5.34,19,47.92,-7.65,15.46,3.72,0.6452,2026-07-22,2026-07-23,53.92,0.3436,0.4527,1.23,0.5872,0.976,0.0,0.6674,0.6799,0.8399,多周期共振看多 ⬆⬆⬆,0.6623,0.364,0.5625
002774,快意电梯,47.59,True,16.89,15.01,21,22.06,-0.83,11.23,12.54,0.8341,2026-07-20,2026-07-23,60.42,0.0678,-0.2835,0.9057,0.1273,0.8796,0.0,0.6467,0.9125,0.9563,多周期共振看多 ⬆⬆⬆,0.8515,0.7131,0.5625
003033,征和工业,56.39,True,69.84,64.48,18,23.64,-8.02,9.65,8.32,0.7355,2026-07-20,2026-07-23,63.58,0.3044,0.4814,0.8118,0.5752,0.8093,0.0,0.6375,0.443,0.7215,多周期共振看多 ⬆⬆⬆,0.7057,0.2112,0.1575
000703,恒逸石化,601.54,True,15.82,14.58,17,25.15,-5.78,5.35,8.53,0.6176,2026-07-16,2026-07-23,58.58,0.5793,0.0946,0.8876,0.5854,0.9204,0.0,0.6275,0.4966,0.7483,多周期共振看多 ⬆⬆⬆,0.3296,0.404,0.405
000989,九芝堂,63.58,True,9.16,8.62,19,20.79,-4.93,5.01,6.26,0.5842,2026-06-30,2026-07-23,60.87,0.9332,1.835,0.6409,0.9599,0.8696,0.0,0.6255,0.0226,0.5113,⚠️ 月线空头下的短期反弹，不宜追高,0.5135,0.1648,-0.3465
600129,太极集团,86.85,True,15.75,15.1,18,30.15,-11.02,7.76,4.28,0.5875,2026-06-29,2026-07-23,57.74,0.9319,2.0896,0.8715,0.9591,0.9391,0.0,0.6237,-0.0817,0.4592,多周期方向不一致，观望,0.2615,-0.1333,-0.45
