code,name,market_cap,is_tech,latest_close,latest_ma20,days_above_ma20,max_distance_above_ma20_pct,min_distance_above_ma20_pct,avg_distance_above_ma20_pct,latest_distance_above_ma20_pct,ma20_strength_score,last_breach_date,latest_date,rsi,volume_price_corr,volume_change_22d,volatility_20d,volume_price_score,rsi_score,volatility_score,composite_score
603203,快克智能,202.11,True,62.4,53.75,22,28.5,3.08,13.59,16.08,0.85,从未跌破（观测期内）,2026-06-17,57.19,0.623,0.6985,0.869,0.7738,0.9514,0.0,0.7237
002859,洁美科技,367.99,True,90.66,76.71,22,50.51,4.79,22.45,18.18,0.85,从未跌破（观测期内）,2026-06-17,63.65,0.8053,1.3649,1.063,0.8832,0.8079,0.0,0.7224
603267,鸿远电子,173.31,True,75.0,69.72,20,27.8,-8.24,11.18,7.58,0.7577,从未跌破（观测期内）,2026-06-17,54.57,0.7616,1.8668,0.9891,0.8569,0.9905,0.0,0.7154
000733,振华科技,322.1,True,58.13,52.19,19,20.49,-7.18,6.78,11.38,0.7217,从未跌破（观测期内）,2026-06-17,56.27,0.8391,4.482,0.9169,0.9035,0.9718,0.0,0.7089
600460,士兰微,679.44,True,40.83,34.49,19,22.09,-4.22,7.08,18.38,0.7292,从未跌破（观测期内）,2026-06-17,54.74,0.7698,2.4481,0.9193,0.8619,0.9943,0.0,0.706
002579,中京电子,107.76,True,18.47,16.83,16,42.07,-6.92,12.41,9.75,0.7483,从未跌破（观测期内）,2026-06-17,50.87,0.8165,1.4037,1.131,0.8899,0.9083,0.0,0.7035
600237,铜峰电子,78.45,True,12.56,10.76,20,23.48,-6.8,8.61,16.71,0.7835,从未跌破（观测期内）,2026-06-17,59.58,0.6781,3.6883,0.9581,0.8068,0.8983,0.0,0.6948
002645,华宏科技,232.77,True,34.22,28.46,21,25.96,-1.0,14.07,20.24,0.8341,从未跌破（观测期内）,2026-06-17,70.89,0.7327,2.0516,0.8573,0.8396,0.6469,0.0,0.6729
002674,兴业科技,47.6,True,16.27,15.39,22,15.11,0.7,6.09,5.71,0.6865,从未跌破（观测期内）,2026-06-17,59.49,0.6731,3.059,0.5575,0.8039,0.9002,0.0709,0.6662
600378,昊华科技,684.3,True,63.8,46.87,20,50.38,-0.81,18.01,36.11,0.8182,从未跌破（观测期内）,2026-06-17,76.32,0.864,2.9966,0.9021,0.9184,0.5263,0.0,0.6621
002119,康强电子,124.48,True,33.17,26.48,19,31.96,-8.18,10.58,25.28,0.8023,从未跌破（观测期内）,2026-06-17,70.84,0.7428,1.3602,0.8749,0.8457,0.6479,0.0,0.6619
003025,思进智能,37.59,True,16.6,15.36,17,13.85,-5.54,5.24,8.08,0.6034,从未跌破（观测期内）,2026-06-17,60.13,0.8339,1.7996,0.5457,0.9004,0.8861,0.0906,0.6573
002815,崇达技术,156.52,True,20.14,17.34,20,16.12,-2.96,6.48,16.12,0.7475,从未跌破（观测期内）,2026-06-17,68.64,0.7288,2.4191,0.646,0.8373,0.697,0.0,0.6477
002993,奥海科技,173.11,True,72.6,65.26,21,26.72,-3.92,9.82,11.24,0.8295,从未跌破（观测期内）,2026-06-17,55.42,0.3856,0.0907,0.8306,0.4676,0.9906,0.0,0.6468
002436,兴森科技,725.57,True,47.8,38.76,21,23.32,-0.24,10.88,23.32,0.8341,从未跌破（观测期内）,2026-06-17,71.29,0.5379,0.793,0.8112,0.7227,0.6381,0.0,0.6419
000021,深科技,675.46,True,42.91,39.08,19,27.11,-6.54,9.05,9.8,0.7736,从未跌破（观测期内）,2026-06-17,50.98,0.3291,0.7477,0.8114,0.5974,0.9107,0.0,0.641
000920,沃顿科技,71.08,True,15.04,12.61,18,19.23,-6.78,6.42,19.23,0.6969,从未跌破（观测期内）,2026-06-17,71.19,0.8475,5.6651,0.6658,0.9085,0.6402,0.0,0.6339
603324,盛剑科技,57.86,True,39.18,32.22,20,21.67,-3.97,9.63,21.58,0.8089,从未跌破（观测期内）,2026-06-17,68.92,0.4774,3.1877,0.9135,0.6865,0.6907,0.0,0.6333
603678,火炬电子,331.52,True,69.71,54.38,22,59.18,0.85,27.37,28.2,0.85,从未跌破（观测期内）,2026-06-17,71.5,0.4261,5.2411,0.9883,0.6557,0.6334,0.0,0.6306
002138,顺络电子,503.22,True,66.52,52.39,22,33.76,9.08,20.02,26.97,0.85,从未跌破（观测期内）,2026-06-17,72.73,0.451,0.6697,0.8621,0.6706,0.606,0.0,0.6288
600458,时代新材,148.34,True,17.08,14.05,20,26.62,-1.28,9.01,21.54,0.7934,从未跌破（观测期内）,2026-06-17,83.71,0.9066,8.3261,0.6583,0.944,0.3619,0.0,0.6257
603990,麦迪科技,68.97,True,22.52,20.73,22,26.74,2.5,13.94,8.65,0.8163,从未跌破（观测期内）,2026-06-17,61.9,0.3632,0.2332,0.6789,0.5112,0.8468,0.0,0.6237
603212,赛伍技术,69.39,True,15.86,15.5,19,9.71,-1.38,4.11,2.33,0.5205,从未跌破（观测期内）,2026-06-17,56.54,0.6913,0.5543,0.5361,0.8148,0.9658,0.1066,0.6211
000100,TCL科技,979.56,True,5.12,4.55,20,12.42,-1.57,4.39,12.42,0.7083,从未跌破（观测期内）,2026-06-17,63.6,0.4775,3.9365,0.6351,0.6865,0.809,0.0,0.6167
603328,依顿电子,150.96,True,15.12,13.13,17,15.18,-7.92,3.16,15.18,0.5995,从未跌破（观测期内）,2026-06-17,66.12,0.8225,1.7243,0.6176,0.8935,0.753,0.0,0.6138
002185,华天科技,632.97,True,19.05,17.93,17,40.47,-8.33,11.68,6.26,0.6769,从未跌破（观测期内）,2026-06-17,39.9,0.7228,0.7692,0.9622,0.8337,0.6644,0.0,0.6121
601208,东材科技,739.45,True,73.2,57.25,21,27.87,-0.69,15.42,27.87,0.8341,从未跌破（观测期内）,2026-06-17,70.66,0.3199,1.1088,0.9605,0.5919,0.652,0.0,0.612
001269,欧晶科技,50.7,True,26.35,26.31,22,18.96,0.17,8.52,0.17,0.5673,从未跌破（观测期内）,2026-06-17,59.67,0.7031,4.5871,0.7125,0.8218,0.8962,0.0,0.6116
603011,合锻智能,177.74,True,35.95,27.91,15,41.12,-9.95,17.37,28.82,0.7386,从未跌破（观测期内）,2026-06-17,75.9,0.7241,3.5191,0.9959,0.8345,0.5357,0.0,0.6112
603005,晶方科技,300.78,True,46.12,42.82,21,32.23,-0.62,13.8,7.69,0.7764,从未跌破（观测期内）,2026-06-17,50.89,0.1251,0.6683,0.9469,0.475,0.9087,0.0,0.6111
603859,能科科技,124.23,True,50.77,47.43,18,26.83,-5.32,7.87,7.05,0.6591,从未跌破（观测期内）,2026-06-17,58.03,0.7507,-0.0202,0.8853,0.6423,0.9327,0.0,0.6108
003043,华亚智能,67.9,True,80.99,69.22,20,26.21,-1.42,10.76,17.01,0.8182,从未跌破（观测期内）,2026-06-17,74.83,0.5736,0.2993,0.7741,0.6639,0.5593,0.0,0.6051
002409,雅克科技,471.16,True,147.92,120.7,19,27.76,-6.02,11.77,22.56,0.8023,从未跌破（观测期内）,2026-06-17,69.8,0.636,-0.0445,0.9052,0.5638,0.6712,0.0,0.5961
002965,祥鑫科技,80.93,True,42.5,36.69,17,18.0,-7.19,5.86,15.83,0.667,从未跌破（观测期内）,2026-06-17,71.88,0.6922,0.3791,0.7022,0.767,0.6249,0.0,0.5835
