code,name,market_cap,is_tech,latest_close,latest_ma20,days_above_ma20,max_distance_above_ma20_pct,min_distance_above_ma20_pct,avg_distance_above_ma20_pct,latest_distance_above_ma20_pct,ma20_strength_score,last_breach_date,latest_date,rsi,volume_price_corr,volume_change_22d,volatility_20d,volume_price_score,rsi_score,volatility_score,composite_score,trend_score,trend_normalized,trend_phase,daily_trend_score,weekly_trend_score,monthly_trend_score
002768,国恩股份,153.99,True,59.55,53.29,21,19.92,-0.51,10.64,11.74,0.8341,2026-06-09,2026-07-09,63.23,0.8237,3.0168,0.5064,0.8942,0.8172,0.156,0.8005,0.8659,0.9329,多周期共振看多 ⬆⬆⬆,0.8525,0.6098,0.5625
002141,贤丰控股,55.26,True,5.35,4.79,19,47.92,-3.76,20.05,11.6,0.8023,2026-06-12,2026-07-09,56.69,0.7959,8.93,1.1878,0.8775,0.9623,0.0,0.7666,0.6484,0.8242,多周期共振看多 ⬆⬆⬆,0.692,0.2694,0.5625
000021,深科技,885.31,True,56.24,50.24,20,46.22,-3.71,15.46,11.94,0.8182,2026-06-12,2026-07-09,64.53,0.8357,0.5548,0.929,0.9014,0.7882,0.0,0.7662,0.7782,0.8891,多周期共振看多 ⬆⬆⬆,0.6075,0.6271,0.5625
002422,科伦药业,554.51,True,42.7,39.62,21,26.76,-1.1,8.25,7.76,0.7344,2026-06-26,2026-07-09,64.09,0.9402,2.6404,0.7389,0.9641,0.798,0.0,0.7577,0.7991,0.8996,多周期共振看多 ⬆⬆⬆,0.7865,0.5872,0.495
603261,立航科技,43.13,True,55.65,47.19,18,45.53,-7.61,16.87,17.93,0.7864,2026-06-11,2026-07-09,64.42,0.701,11.564,0.918,0.8206,0.7906,0.0,0.7567,0.9044,0.9522,多周期共振看多 ⬆⬆⬆,0.7985,0.7408,0.5625
605208,永茂泰,60.38,True,18.3,16.14,20,13.4,-4.44,5.71,13.4,0.7351,2026-06-29,2026-07-09,65.62,0.7674,0.8144,0.5359,0.8604,0.7639,0.1068,0.7539,0.8883,0.9442,多周期共振看多 ⬆⬆⬆,0.8435,0.6669,0.5625
600360,华微电子,153.55,True,15.99,13.41,17,19.27,-9.42,7.22,19.27,0.7011,2026-06-16,2026-07-09,69.36,0.9303,1.2597,0.8086,0.9582,0.6808,0.0,0.7421,0.9045,0.9523,多周期共振看多 ⬆⬆⬆,0.788,0.75,0.5625
002821,凯莱英,511.17,True,161.23,141.25,15,36.13,-6.63,11.8,14.15,0.7386,2026-06-17,2026-07-09,68.19,0.8802,2.1923,0.8159,0.9281,0.7068,0.0,0.7394,0.8091,0.9045,多周期共振看多 ⬆⬆⬆,0.5757,0.7223,0.5625
003043,华亚智能,97.54,True,104.5,90.22,22,30.27,8.58,18.31,15.83,0.85,2026-06-02,2026-07-09,67.42,0.4401,0.7614,0.8148,0.6641,0.724,0.0,0.7387,0.9384,0.9692,多周期共振看多 ⬆⬆⬆,0.875,0.75,0.5625
600172,黄河旋风,238.66,True,18.7,15.9,18,30.25,-6.25,11.84,17.57,0.7864,2026-06-15,2026-07-09,66.76,0.5959,0.9198,0.915,0.7576,0.7386,0.0,0.7343,0.8883,0.9442,多周期共振看多 ⬆⬆⬆,0.8112,0.6946,0.5625
603061,金海通,424.16,True,487.54,408.09,21,45.27,-0.37,17.4,19.47,0.8341,2026-06-09,2026-07-09,71.21,0.621,0.4237,0.8532,0.7421,0.6398,0.0,0.7327,0.9045,0.9523,多周期共振看多 ⬆⬆⬆,0.788,0.75,0.5625
002747,埃斯顿,324.93,True,41.53,38.27,22,32.1,1.06,15.32,8.51,0.8128,2026-04-28,2026-07-09,58.58,0.3278,0.5454,0.9651,0.5967,0.9204,0.0,0.7304,0.8335,0.9167,多周期共振看多 ⬆⬆⬆,0.791,0.5913,0.5625
002371,北方华创,6369.58,True,878.43,778.83,20,30.77,-1.23,12.09,12.79,0.8182,2026-06-10,2026-07-09,68.46,0.5911,0.6208,0.6419,0.7546,0.7008,0.0,0.7291,0.8208,0.9104,多周期共振看多 ⬆⬆⬆,0.6165,0.7131,0.5625
002185,华天科技,788.47,True,23.73,20.27,18,19.89,-8.33,7.21,17.08,0.7166,2026-06-15,2026-07-09,65.24,0.8039,0.3954,0.8168,0.8405,0.7725,0.0,0.7291,0.8415,0.9207,多周期共振看多 ⬆⬆⬆,0.7697,0.6271,0.5625
002674,兴业科技,90.14,True,30.81,23.85,22,70.87,3.38,27.57,29.16,0.85,2026-05-12,2026-07-09,71.51,0.5444,1.1236,1.1242,0.7266,0.6331,0.0,0.7257,0.843,0.9215,多周期共振看多 ⬆⬆⬆,0.8705,0.544,0.5625
600460,士兰微,805.41,True,48.4,45.52,20,35.24,-4.22,16.28,6.33,0.7264,2026-06-12,2026-07-09,63.08,0.7356,0.9776,0.7369,0.8413,0.8204,0.0,0.7253,0.7289,0.8644,多周期共振看多 ⬆⬆⬆,0.5335,0.5821,0.5625
