code,name,market_cap,is_tech,latest_close,latest_ma20,days_above_ma20,max_distance_above_ma20_pct,min_distance_above_ma20_pct,avg_distance_above_ma20_pct,latest_distance_above_ma20_pct,ma20_strength_score,last_breach_date,latest_date
605186,健麾信息,45.18,True,33.22,28.48,22,25.21,8.73,14.47,16.63,0.8527,从未跌破（观测期内）,2026-06-16
002552,宝鼎科技,261.38,True,70.93,54.85,22,60.52,5.75,37.31,29.31,0.85,从未跌破（观测期内）,2026-06-16
600183,生益科技,4295.74,True,179.4,136.27,22,40.61,14.39,26.91,31.65,0.85,从未跌破（观测期内）,2026-06-16
603203,快克智能,190.91,True,58.94,53.02,22,28.5,3.08,13.63,11.17,0.85,从未跌破（观测期内）,2026-06-16
600353,旭光电子,287.76,True,34.72,25.54,22,35.92,5.88,17.26,35.92,0.85,从未跌破（观测期内）,2026-06-16
603256,宏和科技,2212.95,True,251.55,192.48,22,34.23,6.5,20.35,30.69,0.85,从未跌破（观测期内）,2026-06-16
002859,洁美科技,361.25,True,89.0,74.99,22,50.51,4.79,21.89,18.69,0.85,从未跌破（观测期内）,2026-06-16
002138,顺络电子,463.66,True,61.29,51.06,22,33.76,2.13,18.89,20.04,0.85,从未跌破（观测期内）,2026-06-16
603990,麦迪科技,69.92,True,22.83,20.41,22,26.74,2.5,13.82,11.85,0.85,从未跌破（观测期内）,2026-06-16
002645,华宏科技,228.76,True,33.63,28.0,21,25.96,-1.0,13.57,20.11,0.8341,从未跌破（观测期内）,2026-06-16
603678,火炬电子,321.96,True,67.7,52.65,21,59.18,-3.46,25.93,28.59,0.8341,从未跌破（观测期内）,2026-06-16
002436,兴森科技,669.41,True,44.1,38.05,21,21.28,-0.24,10.4,15.91,0.8341,从未跌破（观测期内）,2026-06-16
002741,光华科技,152.85,True,35.85,28.27,21,29.19,-1.3,12.67,26.81,0.8341,从未跌破（观测期内）,2026-06-16
601208,东材科技,724.71,True,71.74,56.16,21,27.74,-0.69,14.72,27.74,0.8341,从未跌破（观测期内）,2026-06-16
002993,奥海科技,171.09,True,71.75,64.69,21,26.72,-3.92,9.95,10.91,0.8329,从未跌破（观测期内）,2026-06-16
603986,兆易创新,3558.01,True,532.76,488.61,22,40.45,1.1,17.54,9.04,0.8259,从未跌破（观测期内）,2026-06-16
600378,昊华科技,622.09,True,58.0,45.47,20,50.38,-0.81,16.42,27.55,0.8182,从未跌破（观测期内）,2026-06-16
003043,华亚智能,69.82,True,83.28,68.44,20,26.21,-1.42,10.25,21.68,0.8182,从未跌破（观测期内）,2026-06-16
002409,雅克科技,438.8,True,137.76,119.31,19,27.76,-6.02,11.82,15.46,0.8023,从未跌破（观测期内）,2026-06-16
002119,康强电子,124.82,True,33.26,26.02,19,31.96,-8.18,9.67,27.81,0.7941,从未跌破（观测期内）,2026-06-16
603324,盛剑科技,52.6,True,35.62,31.8,20,21.67,-3.97,8.88,12.02,0.7901,从未跌破（观测期内）,2026-06-16
600522,中天科技,1848.11,True,54.15,45.66,19,24.26,-4.86,9.23,18.59,0.7831,从未跌破（观测期内）,2026-06-16
603002,宏昌电子,239.18,True,21.09,17.18,21,22.79,-7.73,7.44,22.79,0.7701,从未跌破（观测期内）,2026-06-16
600458,时代新材,151.91,True,17.49,13.81,19,26.62,-1.28,8.03,26.62,0.753,从未跌破（观测期内）,2026-06-16
002815,崇达技术,150.38,True,19.35,17.11,20,13.12,-2.96,5.83,13.12,0.7447,从未跌破（观测期内）,2026-06-16
603011,合锻智能,171.07,True,34.6,27.12,14,41.12,-9.95,15.87,27.6,0.7227,从未跌破（观测期内）,2026-06-16
603386,骏亚科技,58.15,True,17.82,16.94,22,12.89,0.89,7.08,5.22,0.719,从未跌破（观测期内）,2026-06-16
603859,能科科技,125.29,True,51.2,47.2,18,26.83,-5.32,8.05,8.47,0.6993,从未跌破（观测期内）,2026-06-16
002281,光迅科技,1795.22,True,230.01,214.95,17,43.11,-5.2,11.17,7.01,0.6956,从未跌破（观测期内）,2026-06-16
603005,晶方科技,288.52,True,44.24,42.36,21,32.23,-0.62,13.64,4.44,0.6951,从未跌破（观测期内）,2026-06-16
603267,鸿远电子,166.91,True,72.23,68.94,20,27.8,-8.24,11.14,4.77,0.6875,从未跌破（观测期内）,2026-06-16
600237,铜峰电子,71.33,True,11.42,10.61,19,23.48,-6.8,7.73,7.6,0.6855,从未跌破（观测期内）,2026-06-16
001269,欧晶科技,52.61,True,27.34,26.21,22,18.96,0.31,8.54,4.3,0.6709,从未跌破（观测期内）,2026-06-16
000733,振华科技,312.18,True,56.34,51.63,18,20.49,-7.18,6.17,9.13,0.6688,从未跌破（观测期内）,2026-06-16
000021,深科技,641.78,True,40.77,38.82,19,27.11,-6.54,9.51,5.04,0.666,从未跌破（观测期内）,2026-06-16
002965,祥鑫科技,81.73,True,42.92,36.37,17,18.0,-7.19,5.55,18.0,0.6591,从未跌破（观测期内）,2026-06-16
000920,沃顿科技,67.82,True,14.35,12.41,17,17.79,-6.78,5.31,15.66,0.6531,从未跌破（观测期内）,2026-06-16
601869,长飞光纤,1885.82,True,464.1,417.27,17,19.84,-5.46,5.18,11.22,0.6499,从未跌破（观测期内）,2026-06-16
003025,思进智能,39.46,True,17.43,15.31,17,13.85,-5.54,5.12,13.85,0.6486,从未跌破（观测期内）,2026-06-16
002674,兴业科技,46.84,True,16.01,15.3,22,15.11,0.01,5.83,4.62,0.646,从未跌破（观测期内）,2026-06-16
603679,华体科技,34.36,True,19.34,17.61,16,15.71,-4.99,5.43,9.83,0.6361,从未跌破（观测期内）,2026-06-16
600563,法拉电子,378.65,True,168.29,160.96,17,32.55,-9.81,11.63,4.55,0.6343,从未跌破（观测期内）,2026-06-16
002384,东山精密,3452.77,True,249.06,220.29,17,13.44,-9.9,4.38,13.06,0.6301,从未跌破（观测期内）,2026-06-16
